lead_id,created_at,country,timezone_utc_offset,segment,channel,company_size_band,estimated_team_size,buyer_role,expected_mrr_usd,business_hours_start_local,business_hours_end_local
L100079,2026-04-12,DOM,-4,AccountantFirm,Referral,2-10,9,Firm Owner,136.99,9,18
L100080,2026-05-24,CRI,-6,SMB,Paid Search,Solo,1,Owner,45.75,8,18
L100081,2026-02-25,MEX,-6,SMB,Webinar,2-10,6,Operations,79.82,8,18
L100082,2026-04-20,MEX,-6,SMB,Marketplace,Solo,1,Owner,37.34,8,18
L100083,2026-01-06,PER,-5,AccountantFirm,Referral,2-10,10,Senior Accountant,202.73,9,18
L100084,2026-03-04,COL,-5,SMB,Referral,11-50,39,Finance Lead,118.1,8,18
L100085,2026-03-21,MEX,-6,SMB,Webinar,Solo,1,Owner,22.19,8,18
L100086,2026-06-27,PER,-5,SMB,Organic,11-50,21,Operations,162.95,8,18
L100087,2026-02-08,PER,-5,AccountantFirm,Paid Search,2-10,3,Firm Owner,176.02,9,18
L100088,2026-02-20,PER,-5,SMB,Paid Search,2-10,10,Finance Lead,100.73,8,18
L100089,2026-03-15,PER,-5,SMB,Organic,2-10,10,Operations,76.86,8,18
L100090,2026-06-29,COL,-5,AccountantFirm,Webinar,2-10,3,Partner,226.81,9,18
L100091,2026-06-04,PER,-5,SMB,Marketplace,11-50,23,Owner,192.07,8,18
L100092,2026-01-07,MEX,-6,SMB,Organic,2-10,8,Operations,72.22,8,18
L100093,2026-02-12,DOM,-4,SMB,Organic,11-50,50,Owner,121.77,8,18
L100094,2026-05-29,MEX,-6,AccountantFirm,Organic,51-200,186,Firm Owner,655.88,9,18
L100095,2026-01-11,CRI,-6,SMB,Outbound,2-10,4,Owner,109.64,8,18
L100096,2026-06-04,MEX,-6,SMB,Referral,2-10,10,Operations,89.93,8,18
L100097,2026-02-20,CRI,-6,SMB,Outbound,2-10,8,Operations,101.22,8,18
L100098,2026-06-16,COL,-5,AccountantFirm,Organic,2-10,6,Partner,164.32,9,18
L100099,2026-02-23,COL,-5,AccountantFirm,Referral,11-50,26,Senior Accountant,351.82,9,18
L100100,2026-03-20,MEX,-6,SMB,Referral,Solo,1,Finance Lead,39.6,8,18
L100101,2026-04-30,COL,-5,SMB,Partner Program,2-10,9,Owner,74.49,8,18
L100102,2026-01-23,DOM,-4,AccountantFirm,Outbound,11-50,44,Senior Accountant,277.15,9,18
L100103,2026-04-11,COL,-5,SMB,Outbound,11-50,47,Operations,306.81,8,18
L100104,2026-04-02,MEX,-6,SMB,Paid Search,Solo,1,Operations,35.82,8,18
L100105,2026-05-22,COL,-5,SMB,Outbound,2-10,6,Operations,72.31,8,18
L100106,2026-06-30,COL,-5,SMB,Paid Search,Solo,1,Owner,37.71,8,18
L100107,2026-05-01,DOM,-4,SMB,Organic,51-200,91,Finance Lead,333.4,8,18
L100108,2026-03-16,COL,-5,SMB,Paid Search,2-10,9,Owner,78.47,8,18
L100109,2026-03-15,COL,-5,SMB,Marketplace,51-200,96,Owner,505.42,8,18
L100110,2026-03-17,COL,-5,SMB,Paid Search,11-50,41,Owner,144.85,8,18
L100111,2026-05-28,COL,-5,SMB,Paid Search,11-50,31,Owner,174.47,8,18
L100112,2026-02-28,DOM,-4,SMB,Paid Search,2-10,7,Finance Lead,42.28,8,18
L100113,2026-01-31,COL,-5,SMB,Paid Search,11-50,19,Operations,118.98,8,18
L100114,2026-03-02,MEX,-6,AccountantFirm,Paid Search,2-10,4,Partner,167.35,9,18
L100115,2026-01-05,DOM,-4,SMB,Outbound,Solo,1,Owner,25.63,8,18
L100116,2026-01-20,MEX,-6,AccountantFirm,Webinar,2-10,7,Partner,162.23,9,18
L100117,2026-01-17,MEX,-6,SMB,Paid Search,2-10,4,Operations,87.12,8,18
L100118,2026-05-20,COL,-5,AccountantFirm,Referral,2-10,8,Partner,141.33,9,18
L100119,2026-05-11,PER,-5,SMB,Referral,2-10,10,Operations,84.56,8,18
L100120,2026-05-07,MEX,-6,SMB,Organic,2-10,2,Owner,100.37,8,18
L100121,2026-03-25,COL,-5,SMB,Webinar,2-10,10,Owner,55.9,8,18
L100122,2026-05-10,PER,-5,SMB,Outbound,11-50,17,Owner,171.98,8,18
L100123,2026-01-30,DOM,-4,SMB,Paid Search,2-10,3,Owner,61.46,8,18
L100124,2026-06-13,DOM,-4,AccountantFirm,Webinar,2-10,9,Firm Owner,83.65,9,18
L100125,2026-04-01,PER,-5,AccountantFirm,Marketplace,2-10,3,Firm Owner,123.73,9,18
L100126,2026-06-19,COL,-5,SMB,Referral,2-10,7,Finance Lead,65.72,8,18
L100127,2026-01-28,CRI,-6,AccountantFirm,Paid Search,51-200,67,Partner,823.58,9,18
L100128,2026-04-01,DOM,-4,AccountantFirm,Referral,51-200,63,Partner,639.97,9,18
L100129,2026-05-07,MEX,-6,AccountantFirm,Partner Program,51-200,81,Firm Owner,1217.8,9,18
L100130,2026-03-31,COL,-5,SMB,Marketplace,2-10,6,Owner,78.76,8,18
L100131,2026-03-22,COL,-5,SMB,Marketplace,11-50,22,Operations,308.21,8,18
L100132,2026-01-31,PER,-5,SMB,Referral,2-10,4,Owner,49.76,8,18
L100133,2026-03-10,COL,-5,SMB,Paid Search,Solo,1,Operations,37.65,8,18
L100134,2026-02-13,COL,-5,AccountantFirm,Referral,2-10,9,Senior Accountant,129.0,9,18
L100135,2026-02-24,DOM,-4,SMB,Paid Search,2-10,3,Owner,70.26,8,18
L100136,2026-05-04,DOM,-4,SMB,Outbound,2-10,2,Owner,41.12,8,18
L100137,2026-04-25,COL,-5,SMB,Marketplace,51-200,67,Finance Lead,324.0,8,18
L100138,2026-04-20,CRI,-6,AccountantFirm,Webinar,11-50,46,Firm Owner,234.63,9,18
L100139,2026-03-07,MEX,-6,SMB,Paid Search,51-200,122,Owner,601.91,8,18
L100140,2026-06-23,CRI,-6,SMB,Paid Search,Solo,1,Owner,39.69,8,18
L100141,2026-01-16,COL,-5,AccountantFirm,Referral,2-10,10,Partner,181.56,9,18
L100142,2026-03-04,COL,-5,AccountantFirm,Partner Program,Solo,1,Partner,121.18,9,18
L100143,2026-01-22,DOM,-4,SMB,Webinar,Solo,1,Owner,38.83,8,18
L100144,2026-03-03,COL,-5,AccountantFirm,Referral,2-10,9,Partner,139.71,9,18
L100145,2026-06-24,MEX,-6,AccountantFirm,Referral,11-50,22,Partner,446.93,9,18
L100146,2026-03-08,COL,-5,SMB,Paid Search,Solo,1,Owner,35.47,8,18
L100147,2026-06-14,CRI,-6,AccountantFirm,Paid Search,11-50,42,Firm Owner,280.74,9,18
L100148,2026-03-31,PER,-5,SMB,Marketplace,2-10,6,Owner,79.5,8,18
L100149,2026-05-07,CRI,-6,SMB,Outbound,11-50,33,Owner,246.29,8,18
L100150,2026-03-24,PER,-5,SMB,Paid Search,Solo,1,Owner,44.63,8,18
L100151,2026-02-18,PER,-5,SMB,Referral,2-10,6,Owner,80.76,8,18
L100152,2026-05-19,MEX,-6,SMB,Organic,2-10,8,Owner,66.49,8,18
L100153,2026-06-25,MEX,-6,SMB,Organic,2-10,3,Operations,86.75,8,18
L100154,2026-02-17,PER,-5,SMB,Organic,Solo,1,Owner,38.79,8,18
L100155,2026-05-21,PER,-5,SMB,Marketplace,11-50,13,Finance Lead,198.47,8,18
L100156,2026-02-17,PER,-5,SMB,Paid Search,Solo,1,Owner,35.16,8,18
L100157,2026-05-10,CRI,-6,SMB,Paid Search,Solo,1,Owner,31.47,8,18
L100158,2026-05-23,COL,-5,SMB,Paid Search,Solo,1,Operations,23.31,8,18
L100159,2026-03-23,PER,-5,SMB,Webinar,11-50,40,Operations,174.75,8,18
L100160,2026-05-14,PER,-5,SMB,Webinar,2-10,10,Owner,66.96,8,18
L100161,2026-02-19,DOM,-4,AccountantFirm,Partner Program,11-50,34,Firm Owner,261.12,9,18
L100162,2026-01-15,PER,-5,SMB,Marketplace,11-50,15,Operations,188.14,8,18
L100163,2026-01-18,MEX,-6,AccountantFirm,Partner Program,11-50,15,Firm Owner,523.62,9,18
L100164,2026-03-22,PER,-5,SMB,Referral,Solo,1,Owner,43.4,8,18
L100165,2026-06-13,COL,-5,AccountantFirm,Organic,2-10,6,Senior Accountant,167.78,9,18
L100166,2026-01-24,PER,-5,AccountantFirm,Organic,Solo,1,Senior Accountant,110.53,9,18
L100167,2026-03-24,COL,-5,AccountantFirm,Paid Search,2-10,10,Senior Accountant,193.96,9,18
L100168,2026-05-08,COL,-5,SMB,Marketplace,2-10,7,Finance Lead,71.5,8,18
L100169,2026-02-06,COL,-5,SMB,Paid Search,2-10,4,Owner,38.37,8,18
L100170,2026-05-11,MEX,-6,SMB,Organic,2-10,7,Owner,42.69,8,18
L100171,2026-02-25,COL,-5,SMB,Outbound,Solo,1,Owner,35.78,8,18
L100172,2026-05-27,PER,-5,AccountantFirm,Outbound,Solo,1,Firm Owner,49.0,9,18
L100173,2026-04-15,MEX,-6,AccountantFirm,Partner Program,51-200,74,Partner,887.39,9,18
L100174,2026-04-09,PER,-5,SMB,Marketplace,Solo,1,Owner,28.09,8,18
L100175,2026-02-01,COL,-5,SMB,Partner Program,11-50,30,Owner,268.03,8,18
L100176,2026-03-25,COL,-5,SMB,Marketplace,2-10,10,Finance Lead,65.44,8,18
L100177,2026-06-05,CRI,-6,SMB,Organic,2-10,7,Owner,78.96,8,18
L100178,2026-01-04,DOM,-4,SMB,Paid Search,2-10,2,Owner,67.19,8,18
L100179,2026-05-18,MEX,-6,SMB,Organic,2-10,3,Owner,30.73,8,18
L100180,2026-03-31,CRI,-6,AccountantFirm,Webinar,2-10,2,Firm Owner,211.65,9,18
L100181,2026-05-11,CRI,-6,SMB,Marketplace,11-50,27,Owner,292.7,8,18
L100182,2026-05-01,MEX,-6,SMB,Marketplace,11-50,20,Owner,242.52,8,18
L100183,2026-03-20,PER,-5,SMB,Paid Search,Solo,1,Owner,29.09,8,18
L100184,2026-02-25,DOM,-4,AccountantFirm,Webinar,Solo,1,Firm Owner,89.06,9,18
L100185,2026-04-24,DOM,-4,SMB,Organic,2-10,10,Operations,50.66,8,18
L100186,2026-01-26,MEX,-6,SMB,Paid Search,2-10,4,Owner,99.91,8,18
L100187,2026-04-16,COL,-5,SMB,Referral,2-10,2,Owner,44.11,8,18
L100188,2026-01-18,COL,-5,SMB,Outbound,Solo,1,Finance Lead,32.3,8,18
L100189,2026-04-28,CRI,-6,SMB,Referral,Solo,1,Owner,37.88,8,18
L100190,2026-04-24,DOM,-4,SMB,Outbound,Solo,1,Owner,20.96,8,18
L100191,2026-01-16,COL,-5,SMB,Paid Search,11-50,28,Owner,228.52,8,18
L100192,2026-05-18,DOM,-4,AccountantFirm,Organic,11-50,40,Partner,266.56,9,18
L100193,2026-03-17,COL,-5,SMB,Paid Search,2-10,8,Finance Lead,92.36,8,18
L100194,2026-05-23,COL,-5,SMB,Organic,11-50,50,Operations,164.06,8,18
L100195,2026-01-08,PER,-5,SMB,Organic,2-10,5,Owner,75.54,8,18
L100196,2026-02-02,MEX,-6,AccountantFirm,Outbound,2-10,6,Partner,160.2,9,18
L100197,2026-03-31,COL,-5,AccountantFirm,Webinar,51-200,134,Partner,842.96,9,18
L100198,2026-02-04,MEX,-6,AccountantFirm,Outbound,2-10,2,Partner,215.8,9,18
L100199,2026-03-01,MEX,-6,SMB,Organic,51-200,51,Owner,357.11,8,18
L100200,2026-04-30,DOM,-4,SMB,Referral,Solo,1,Operations,24.99,8,18
L100201,2026-01-27,PER,-5,AccountantFirm,Marketplace,51-200,170,Firm Owner,582.19,9,18
L100202,2026-05-03,MEX,-6,AccountantFirm,Outbound,2-10,5,Firm Owner,218.94,9,18
L100203,2026-01-19,MEX,-6,SMB,Outbound,11-50,38,Operations,182.45,8,18
L100204,2026-02-01,MEX,-6,SMB,Referral,2-10,10,Owner,115.41,8,18
L100205,2026-04-17,MEX,-6,SMB,Organic,2-10,4,Owner,75.7,8,18
L100206,2026-05-24,COL,-5,AccountantFirm,Organic,11-50,41,Partner,510.93,9,18
L100207,2026-01-31,COL,-5,SMB,Paid Search,2-10,3,Finance Lead,76.78,8,18
L100208,2026-02-24,PER,-5,SMB,Webinar,2-10,8,Operations,81.4,8,18
L100209,2026-06-17,MEX,-6,SMB,Organic,51-200,74,Owner,370.5,8,18
L100210,2026-06-29,MEX,-6,SMB,Paid Search,11-50,23,Operations,135.88,8,18
L100211,2026-04-16,COL,-5,SMB,Paid Search,2-10,6,Owner,77.66,8,18
L100212,2026-03-22,CRI,-6,SMB,Outbound,2-10,6,Owner,88.31,8,18
L100213,2026-03-04,COL,-5,AccountantFirm,Outbound,2-10,2,Senior Accountant,210.86,9,18
L100214,2026-04-21,MEX,-6,SMB,Referral,Solo,1,Owner,33.01,8,18
L100215,2026-04-17,CRI,-6,SMB,Webinar,2-10,9,Owner,92.75,8,18
L100216,2026-02-23,MEX,-6,SMB,Referral,Solo,1,Owner,36.42,8,18
L100217,2026-01-05,PER,-5,SMB,Referral,2-10,2,Owner,73.03,8,18
L100218,2026-01-28,COL,-5,SMB,Paid Search,2-10,9,Owner,61.34,8,18
L100219,2026-06-23,DOM,-4,SMB,Paid Search,Solo,1,Operations,23.01,8,18
L100220,2026-03-17,PER,-5,SMB,Partner Program,Solo,1,Owner,25.04,8,18
L100221,2026-03-29,MEX,-6,AccountantFirm,Referral,11-50,19,Firm Owner,394.69,9,18
L100222,2026-03-26,DOM,-4,SMB,Partner Program,Solo,1,Owner,33.77,8,18
L100223,2026-05-22,MEX,-6,SMB,Paid Search,2-10,8,Owner,71.79,8,18
L100224,2026-01-12,CRI,-6,SMB,Outbound,2-10,8,Finance Lead,78.63,8,18
L100225,2026-01-15,PER,-5,AccountantFirm,Partner Program,11-50,29,Firm Owner,341.93,9,18
L100226,2026-02-19,DOM,-4,SMB,Marketplace,2-10,6,Owner,93.81,8,18
L100227,2026-03-30,PER,-5,AccountantFirm,Organic,2-10,2,Senior Accountant,193.74,9,18
L100228,2026-05-02,MEX,-6,AccountantFirm,Organic,2-10,10,Senior Accountant,276.35,9,18
L100229,2026-03-30,MEX,-6,SMB,Marketplace,2-10,3,Finance Lead,113.55,8,18
L100230,2026-03-21,COL,-5,SMB,Paid Search,2-10,7,Finance Lead,60.57,8,18
L100231,2026-06-19,DOM,-4,AccountantFirm,Marketplace,2-10,2,Partner,159.21,9,18
L100232,2026-01-30,PER,-5,SMB,Webinar,11-50,40,Owner,224.53,8,18
L100233,2026-04-14,DOM,-4,SMB,Organic,2-10,5,Operations,72.22,8,18
L100234,2026-04-09,COL,-5,SMB,Organic,2-10,6,Finance Lead,79.29,8,18
L100235,2026-03-27,MEX,-6,SMB,Organic,Solo,1,Owner,27.67,8,18
L100236,2026-05-27,CRI,-6,SMB,Outbound,11-50,11,Operations,158.86,8,18
L100237,2026-02-18,PER,-5,SMB,Organic,2-10,3,Owner,68.74,8,18
L100238,2026-06-22,COL,-5,SMB,Paid Search,Solo,1,Owner,19.0,8,18
L100239,2026-03-02,COL,-5,SMB,Outbound,Solo,1,Finance Lead,38.92,8,18
L100240,2026-04-09,MEX,-6,SMB,Webinar,2-10,5,Finance Lead,72.34,8,18
L100241,2026-04-05,COL,-5,AccountantFirm,Webinar,2-10,8,Partner,137.64,9,18
L100242,2026-06-03,PER,-5,SMB,Organic,11-50,34,Operations,212.71,8,18
L100243,2026-03-21,MEX,-6,SMB,Referral,Solo,1,Owner,33.84,8,18
L100244,2026-02-21,MEX,-6,SMB,Marketplace,2-10,4,Finance Lead,64.97,8,18
L100245,2026-01-04,COL,-5,SMB,Paid Search,2-10,7,Owner,85.5,8,18
L100246,2026-03-07,MEX,-6,SMB,Outbound,2-10,4,Owner,49.75,8,18
L100247,2026-05-30,PER,-5,SMB,Webinar,2-10,6,Operations,61.04,8,18
L100248,2026-01-02,MEX,-6,SMB,Paid Search,2-10,6,Owner,62.34,8,18
L100249,2026-06-12,COL,-5,SMB,Paid Search,11-50,20,Finance Lead,150.77,8,18
L100250,2026-04-09,COL,-5,SMB,Paid Search,2-10,3,Finance Lead,56.34,8,18
L100251,2026-01-26,PER,-5,SMB,Outbound,11-50,31,Owner,101.11,8,18
L100252,2026-02-24,PER,-5,SMB,Paid Search,Solo,1,Owner,31.81,8,18
L100253,2026-04-11,COL,-5,SMB,Marketplace,2-10,7,Owner,100.71,8,18
L100254,2026-02-27,DOM,-4,SMB,Organic,11-50,50,Operations,134.57,8,18
L100255,2026-01-20,COL,-5,SMB,Marketplace,2-10,6,Owner,62.06,8,18
L100256,2026-05-01,MEX,-6,SMB,Marketplace,Solo,1,Owner,41.08,8,18
L100257,2026-05-02,COL,-5,SMB,Marketplace,Solo,1,Owner,26.88,8,18
L100258,2026-01-22,CRI,-6,SMB,Paid Search,Solo,1,Operations,49.05,8,18
L100259,2026-02-20,PER,-5,SMB,Webinar,51-200,117,Owner,394.36,8,18
L100260,2026-02-14,COL,-5,AccountantFirm,Referral,2-10,6,Partner,96.03,9,18
L100261,2026-04-30,MEX,-6,SMB,Paid Search,Solo,1,Operations,23.89,8,18
L100262,2026-05-13,COL,-5,SMB,Webinar,Solo,1,Finance Lead,35.09,8,18
L100263,2026-05-12,COL,-5,SMB,Marketplace,51-200,182,Owner,348.23,8,18
L100264,2026-06-19,COL,-5,AccountantFirm,Organic,2-10,4,Partner,223.39,9,18
L100265,2026-05-20,COL,-5,SMB,Marketplace,11-50,26,Owner,239.29,8,18
L100266,2026-02-28,PER,-5,SMB,Partner Program,Solo,1,Owner,21.23,8,18
L100267,2026-01-20,COL,-5,AccountantFirm,Paid Search,11-50,25,Partner,345.52,9,18
L100268,2026-04-22,PER,-5,SMB,Organic,2-10,7,Operations,81.69,8,18
L100269,2026-06-15,COL,-5,AccountantFirm,Partner Program,2-10,8,Partner,314.47,9,18
L100270,2026-06-26,MEX,-6,SMB,Paid Search,2-10,6,Owner,66.44,8,18
L100271,2026-02-11,MEX,-6,SMB,Marketplace,2-10,4,Owner,70.46,8,18
L100272,2026-02-12,PER,-5,SMB,Paid Search,51-200,154,Owner,508.04,8,18
L100273,2026-01-07,COL,-5,SMB,Outbound,2-10,4,Owner,102.83,8,18
L100274,2026-01-26,COL,-5,AccountantFirm,Webinar,2-10,10,Firm Owner,171.96,9,18
L100275,2026-04-11,DOM,-4,SMB,Marketplace,11-50,35,Owner,198.79,8,18
L100276,2026-04-09,DOM,-4,AccountantFirm,Referral,2-10,5,Senior Accountant,128.7,9,18
L100277,2026-03-09,DOM,-4,SMB,Paid Search,2-10,4,Owner,63.26,8,18
L100278,2026-02-26,COL,-5,SMB,Outbound,2-10,8,Owner,79.58,8,18
L100279,2026-05-31,COL,-5,AccountantFirm,Marketplace,2-10,7,Firm Owner,126.34,9,18
L100280,2026-03-25,CRI,-6,SMB,Webinar,2-10,9,Owner,98.89,8,18
L100281,2026-05-27,MEX,-6,AccountantFirm,Outbound,Solo,1,Partner,75.21,9,18
L100282,2026-06-24,MEX,-6,SMB,Outbound,2-10,8,Owner,72.37,8,18
L100283,2026-02-27,COL,-5,SMB,Paid Search,11-50,42,Operations,204.14,8,18
L100284,2026-02-06,COL,-5,SMB,Referral,2-10,2,Finance Lead,79.65,8,18
L100285,2026-06-22,PER,-5,SMB,Webinar,2-10,2,Owner,56.09,8,18
L100286,2026-04-25,DOM,-4,SMB,Outbound,2-10,7,Owner,53.74,8,18
L100287,2026-02-22,COL,-5,SMB,Paid Search,2-10,2,Operations,82.73,8,18
L100288,2026-04-23,PER,-5,SMB,Paid Search,Solo,1,Finance Lead,21.43,8,18
L100289,2026-04-04,MEX,-6,SMB,Outbound,Solo,1,Operations,47.2,8,18
L100290,2026-06-13,COL,-5,AccountantFirm,Marketplace,2-10,10,Partner,134.65,9,18
L100291,2026-02-16,MEX,-6,SMB,Organic,11-50,46,Owner,248.1,8,18
L100292,2026-06-29,DOM,-4,SMB,Referral,2-10,7,Owner,37.8,8,18
L100293,2026-06-19,MEX,-6,AccountantFirm,Partner Program,11-50,40,Partner,450.71,9,18
L100294,2026-02-02,MEX,-6,SMB,Paid Search,Solo,1,Finance Lead,38.74,8,18
L100295,2026-01-30,DOM,-4,SMB,Marketplace,Solo,1,Finance Lead,43.37,8,18
L100296,2026-04-07,COL,-5,SMB,Outbound,2-10,5,Owner,52.48,8,18
