call_id,lead_id,rep_id,call_at_utc,call_local_hour,duration_seconds,connected_flag,disposition,dialer_source,scheduled_flag
C0002001,L100020,SDR02,2026-05-10 18:00:00,13,364,1,Connected - Follow-up,Genesys,0
C0002002,L100020,AE09,2026-05-17 18:00:00,13,8,0,Busy,Manual,0
C0002100,L100021,SDR04,2026-03-30 21:00:00,16,277,1,Connected - Discovery,Genesys,1
C0002200,L100022,SDR02,2026-03-01 18:00:00,14,25,0,Busy,Genesys,0
C0002201,L100022,SDR02,2026-03-05 21:00:00,17,386,1,Connected - Demo Scheduled,Genesys,0
C0002300,L100023,SDR01,2026-02-15 08:00:00,2,28,0,Voicemail,Manual,0
C0002301,L100023,SDR01,2026-02-11 18:00:00,12,436,1,Connected - Discovery,Genesys,0
C0002302,L100023,AE07,2026-02-15 15:00:00,9,471,1,Connected - Discovery,Genesys,1
C0002500,L100025,SDR02,2026-05-12 17:00:00,11,405,1,Connected - Discovery,Manual,0
C0002501,L100025,SDR02,2026-05-04 09:00:00,3,34,0,No Answer,Manual,0
C0002502,L100025,AE08,2026-05-14 16:00:00,10,289,1,Connected - Discovery,Genesys,0
C0002503,L100025,AE09,2026-05-11 09:00:00,3,27,0,Busy,Manual,1
C0002504,L100025,AE08,2026-05-02 14:00:00,8,11,0,Wrong Number,Genesys,0
C0002600,L100026,SDR02,2026-06-30 12:00:00,6,29,0,No Answer,Manual,0
C0002601,L100026,SDR02,2026-06-25 19:00:00,13,220,1,Connected - Follow-up,Genesys,0
C0002602,L100026,AE07,2026-06-23 12:00:00,6,608,1,Connected - Discovery,Genesys,1
C0002700,L100027,SDR01,2026-03-23 10:00:00,5,388,1,Connected - Discovery,Manual,0
C0002701,L100027,SDR01,2026-03-29 08:00:00,3,31,0,Voicemail,Genesys,0
C0002800,L100028,SDR01,2026-02-12 19:00:00,13,37,0,Voicemail,Genesys,0
C0002801,L100028,SDR01,2026-02-03 14:00:00,8,198,1,Connected - Discovery,Genesys,1
C0002802,L100028,AE09,2026-02-04 21:00:00,15,11,0,Busy,Genesys,0
C0002803,L100028,AE08,2026-01-31 19:00:00,13,167,1,Connected - Demo Scheduled,Genesys,0
C0002804,L100028,AE09,2026-02-03 19:00:00,13,322,1,Connected - Follow-up,Genesys,1
C0002805,L100028,AE09,2026-02-01 12:00:00,6,19,0,No Answer,Manual,0
C0002900,L100029,SDR01,2026-06-02 11:00:00,6,37,0,No Answer,Manual,0
C0002901,L100029,SDR01,2026-06-08 08:00:00,3,12,0,No Answer,Genesys,0
C0002902,L100029,AE05,2026-06-01 19:00:00,14,329,1,Connected - Demo Scheduled,Genesys,1
C0002903,L100029,AE05,2026-06-08 21:00:00,16,40,0,Voicemail,Genesys,0
C0003000,L100030,SDR02,2026-04-24 15:00:00,10,275,1,Connected - Discovery,Genesys,0
C0003001,L100030,SDR02,2026-05-05 16:00:00,11,10,0,Busy,Genesys,0
C0003100,L100031,SDR01,2026-05-07 11:00:00,5,352,1,Connected - Follow-up,Genesys,0
C0003200,L100032,SDR04,2026-01-26 19:00:00,15,215,1,Connected - Discovery,Manual,0
C0003201,L100032,SDR04,2026-01-19 09:00:00,5,497,1,Connected - Discovery,Genesys,0
C0003300,L100033,SDR02,2026-03-01 21:00:00,17,305,1,Connected - Discovery,Genesys,0
C0003400,L100034,SDR02,2026-05-26 14:00:00,9,304,1,Connected - Discovery,Manual,0
C0003500,L100035,SDR02,2026-06-09 11:00:00,6,19,0,Busy,Genesys,0
C0003501,L100035,SDR02,2026-06-06 16:00:00,11,261,1,Connected - Follow-up,Genesys,0
C0003600,L100036,SDR02,2026-04-01 21:00:00,15,14,0,No Answer,Genesys,0
C0003700,L100037,SDR02,2026-06-02 17:00:00,13,246,1,Connected - Discovery,Manual,0
C0003701,L100037,SDR02,2026-06-06 17:00:00,13,263,1,Connected - Demo Scheduled,Manual,1
C0003800,L100038,SDR02,2026-06-05 14:00:00,8,41,0,No Answer,Manual,0
C0003801,L100038,SDR02,2026-06-11 12:00:00,6,363,1,Connected - Discovery,Genesys,0
C0003802,L100038,AE08,2026-06-12 20:00:00,14,31,0,Wrong Number,Genesys,0
C0003803,L100038,AE08,2026-06-15 11:00:00,5,572,1,Connected - Follow-up,Manual,0
C0003804,L100038,AE07,2026-06-07 17:00:00,11,24,0,Voicemail,Genesys,0
C0003900,L100039,SDR01,2026-03-22 09:00:00,4,10,0,Voicemail,Genesys,0
C0003901,L100039,SDR01,2026-03-19 20:00:00,15,11,0,Voicemail,Genesys,0
C0003902,L100039,AE08,2026-03-25 19:00:00,14,32,0,Wrong Number,Manual,0
C0004000,L100040,SDR02,2026-06-13 18:00:00,13,251,1,Connected - Demo Scheduled,Genesys,0
C0004001,L100040,SDR02,2026-06-21 14:00:00,9,409,1,Connected - Demo Scheduled,Manual,0
C0004100,L100041,SDR02,2026-02-26 21:00:00,15,40,1,Connected - Demo Scheduled,Manual,0
C0004200,L100042,SDR02,2026-02-23 12:00:00,8,12,0,Voicemail,Genesys,1
C0004201,L100042,SDR02,2026-02-25 10:00:00,6,275,1,Connected - Follow-up,Genesys,0
C0004300,L100043,SDR01,2026-05-11 15:00:00,10,10,0,No Answer,Genesys,0
C0004301,L100043,SDR01,2026-05-05 15:00:00,10,16,0,No Answer,Manual,0
C0004600,L100046,SDR03,2026-06-11 08:00:00,3,16,0,Busy,Genesys,0
C0004601,L100046,SDR03,2026-06-09 19:00:00,14,265,1,Connected - Follow-up,Genesys,0
C0004602,L100046,AE05,2026-06-01 15:00:00,10,351,1,Connected - Discovery,Genesys,0
C0004603,L100046,AE06,2026-05-31 19:00:00,14,9,0,Busy,Manual,0
C0004700,L100047,SDR02,2026-02-09 17:00:00,11,506,1,Connected - Demo Scheduled,Genesys,0
C0004701,L100047,SDR02,2026-02-08 18:00:00,12,20,0,Voicemail,Manual,0
C0004702,L100047,AE03,2026-02-12 11:00:00,5,274,1,Connected - Follow-up,Genesys,0
C0004800,L100048,SDR01,2026-06-05 14:00:00,9,9,0,No Answer,Manual,0
C0004801,L100048,SDR01,2026-06-05 13:00:00,8,30,0,Voicemail,Manual,0
C0004900,L100049,SDR02,2026-01-14 20:00:00,16,32,0,No Answer,Genesys,0
C0004901,L100049,SDR02,2026-01-04 10:00:00,6,22,0,Voicemail,Genesys,0
C0004902,L100049,AE06,2026-01-15 21:00:00,17,166,1,Connected - Demo Scheduled,Genesys,0
C0005000,L100050,SDR01,2026-06-03 10:00:00,4,21,0,No Answer,Genesys,0
C0005001,L100050,SDR01,2026-05-25 16:00:00,10,431,1,Connected - Discovery,Genesys,0
C0005002,L100050,AE07,2026-06-06 18:00:00,12,26,0,Wrong Number,Genesys,1
C0005003,L100050,AE08,2026-05-29 13:00:00,7,298,1,Connected - Demo Scheduled,Genesys,0
C0005100,L100051,SDR02,2026-05-26 19:00:00,14,438,1,Connected - Discovery,Genesys,1
C0005101,L100051,SDR02,2026-06-04 18:00:00,13,22,0,No Answer,Genesys,0
C0005102,L100051,AE09,2026-05-23 10:00:00,5,19,0,Voicemail,Genesys,0
C0005103,L100051,AE08,2026-06-04 20:00:00,15,342,1,Connected - Follow-up,Manual,0
C0005104,L100051,AE08,2026-05-24 14:00:00,9,410,1,Connected - Follow-up,Genesys,0
C0005300,L100053,SDR03,2026-05-05 20:00:00,15,450,1,Connected - Discovery,Genesys,1
C0005301,L100053,SDR03,2026-05-12 20:00:00,15,499,1,Connected - Discovery,Genesys,1
C0005400,L100054,SDR01,2026-04-07 15:00:00,10,503,1,Connected - Demo Scheduled,Manual,0
C0005401,L100054,SDR01,2026-04-05 11:00:00,6,22,0,Wrong Number,Manual,0
C0005402,L100054,AE08,2026-03-29 16:00:00,11,364,1,Connected - Follow-up,Genesys,0
C0005500,L100055,SDR01,2026-05-12 21:00:00,16,507,1,Connected - Follow-up,Genesys,0
C0005501,L100055,SDR01,2026-05-12 19:00:00,14,206,1,Connected - Discovery,Genesys,1
C0005502,L100055,AE03,2026-05-21 12:00:00,7,39,0,Busy,Genesys,0
C0005600,L100056,SDR02,2026-02-22 11:00:00,7,218,1,Connected - Discovery,Genesys,0
C0005700,L100057,SDR01,2026-06-01 15:00:00,10,21,0,Voicemail,Genesys,1
C0005800,L100058,SDR01,2026-04-23 16:00:00,10,421,1,Connected - Follow-up,Genesys,0
C0005801,L100058,SDR01,2026-04-22 19:00:00,13,526,1,Connected - Discovery,Genesys,1
C0005802,L100058,AE07,2026-04-17 19:00:00,13,28,0,Wrong Number,Manual,0
C0005900,L100059,SDR02,2026-03-26 16:00:00,11,246,1,Connected - Discovery,Genesys,0
C0005901,L100059,SDR02,2026-04-05 09:00:00,4,32,0,Wrong Number,Genesys,0
C0006000,L100060,SDR01,2026-04-10 20:00:00,15,8,0,Busy,Genesys,0
C0006100,L100061,SDR02,2026-04-19 09:00:00,5,39,0,No Answer,Genesys,1
C0006101,L100061,SDR02,2026-04-24 16:00:00,12,20,0,No Answer,Manual,0
C0006200,L100062,SDR01,2026-01-18 18:00:00,14,258,1,Connected - Follow-up,Manual,1
C0006300,L100063,SDR01,2026-02-02 11:00:00,5,27,0,Voicemail,Manual,0
C0006400,L100064,SDR01,2026-02-20 19:00:00,14,111,1,Connected - Demo Scheduled,Genesys,0
C0006401,L100064,SDR01,2026-02-14 19:00:00,14,275,1,Connected - Follow-up,Genesys,1
C0006402,L100064,AE06,2026-02-23 12:00:00,7,41,0,No Answer,Manual,0
C0006500,L100065,SDR03,2026-01-31 10:00:00,5,17,0,Wrong Number,Genesys,0
C0006501,L100065,SDR03,2026-02-03 13:00:00,8,18,0,No Answer,Genesys,0
C0006502,L100065,AE07,2026-01-30 16:00:00,11,371,1,Connected - Follow-up,Manual,0
C0006503,L100065,AE08,2026-01-24 14:00:00,9,329,1,Connected - Demo Scheduled,Genesys,0
C0006504,L100065,AE08,2026-01-27 12:00:00,7,279,1,Connected - Follow-up,Genesys,0
C0006600,L100066,SDR01,2026-03-23 08:00:00,3,483,1,Connected - Discovery,Manual,0
C0006601,L100066,SDR01,2026-03-28 13:00:00,8,471,1,Connected - Discovery,Genesys,0
C0006602,L100066,AE09,2026-03-29 21:00:00,16,460,1,Connected - Discovery,Genesys,0
C0006603,L100066,AE07,2026-03-27 17:00:00,12,37,0,Voicemail,Manual,0
C0006800,L100068,SDR02,2026-05-11 11:00:00,7,13,0,Busy,Manual,0
C0006801,L100068,SDR02,2026-04-29 10:00:00,6,16,0,Voicemail,Genesys,0
C0006900,L100069,SDR01,2026-04-04 19:00:00,13,488,1,Connected - Discovery,Manual,0
C0006901,L100069,SDR01,2026-04-07 16:00:00,10,24,0,Voicemail,Manual,0
C0007000,L100070,SDR01,2026-06-15 10:00:00,5,16,0,Busy,Genesys,0
C0007001,L100070,SDR01,2026-06-17 11:00:00,6,18,0,No Answer,Manual,0
C0007100,L100071,SDR02,2026-04-18 15:00:00,10,23,0,No Answer,Genesys,0
C0007101,L100071,SDR02,2026-04-24 11:00:00,6,38,0,Wrong Number,Manual,1
C0007102,L100071,AE04,2026-04-26 09:00:00,4,304,1,Connected - Follow-up,Genesys,0
C0007200,L100072,SDR02,2026-01-17 09:00:00,4,440,1,Connected - Demo Scheduled,Manual,0
C0007201,L100072,SDR02,2026-01-16 15:00:00,10,494,1,Connected - Discovery,Genesys,0
C0007300,L100073,SDR01,2026-05-29 19:00:00,13,301,1,Connected - Discovery,Manual,0
C0007301,L100073,SDR01,2026-05-24 21:00:00,15,108,1,Connected - Follow-up,Genesys,0
C0007400,L100074,SDR01,2026-04-15 20:00:00,16,195,1,Connected - Discovery,Genesys,0
C0007401,L100074,SDR01,2026-04-24 21:00:00,17,357,1,Connected - Discovery,Genesys,1
C0007402,L100074,AE03,2026-04-21 21:00:00,17,485,1,Connected - Follow-up,Manual,0
C0007403,L100074,AE02,2026-04-26 13:00:00,9,414,1,Connected - Discovery,Genesys,0
C0007500,L100075,SDR02,2026-05-02 21:00:00,16,20,0,Wrong Number,Genesys,0
C0007501,L100075,SDR02,2026-05-04 21:00:00,16,23,0,Voicemail,Genesys,0
C0007600,L100076,SDR01,2026-04-20 11:00:00,7,32,0,No Answer,Genesys,0
C0007601,L100076,SDR01,2026-04-23 09:00:00,5,22,0,No Answer,Genesys,0
C0007602,L100076,AE09,2026-04-18 12:00:00,8,232,1,Connected - Discovery,Genesys,0
C0007603,L100076,AE07,2026-04-19 12:00:00,8,37,0,Busy,Genesys,0
C0007604,L100076,AE09,2026-04-22 13:00:00,9,41,0,No Answer,Genesys,0
C0007605,L100076,AE07,2026-04-22 17:00:00,13,472,1,Connected - Discovery,Genesys,1
C0007700,L100077,SDR01,2026-04-24 12:00:00,7,457,1,Connected - Discovery,Genesys,0
C0007800,L100078,SDR02,2026-01-28 19:00:00,14,9,0,Busy,Genesys,0
C0007801,L100078,SDR02,2026-01-29 11:00:00,6,19,0,Busy,Genesys,0
C0007802,L100078,AE05,2026-01-25 12:00:00,7,15,0,No Answer,Manual,0
C0007803,L100078,AE01,2026-01-25 11:00:00,6,52,1,Connected - Discovery,Genesys,1
C0007900,L100079,SDR02,2026-04-15 21:00:00,17,307,1,Connected - Follow-up,Genesys,0
C0007901,L100079,SDR02,2026-04-22 21:00:00,17,18,0,No Answer,Genesys,0
C0007902,L100079,AE07,2026-04-24 19:00:00,15,472,1,Connected - Discovery,Genesys,0
C0008100,L100081,SDR02,2026-03-06 12:00:00,6,28,0,Wrong Number,Genesys,0
C0008101,L100081,SDR02,2026-03-06 15:00:00,9,17,0,No Answer,Genesys,0
C0008102,L100081,AE03,2026-02-26 15:00:00,9,13,0,Voicemail,Genesys,0
C0008103,L100081,AE06,2026-02-25 12:00:00,6,224,1,Connected - Follow-up,Genesys,0
C0008200,L100082,SDR02,2026-05-02 08:00:00,2,329,1,Connected - Demo Scheduled,Genesys,0
C0008300,L100083,SDR02,2026-01-18 20:00:00,15,35,0,No Answer,Genesys,0
C0008301,L100083,SDR02,2026-01-19 18:00:00,13,375,1,Connected - Follow-up,Genesys,0
C0008302,L100083,AE08,2026-01-08 15:00:00,10,436,1,Connected - Discovery,Genesys,1
C0008400,L100084,SDR01,2026-03-09 10:00:00,5,96,1,Connected - Follow-up,Genesys,0
C0008401,L100084,SDR01,2026-03-08 10:00:00,5,30,0,No Answer,Genesys,0
C0008500,L100085,SDR02,2026-03-26 18:00:00,12,40,1,Connected - Follow-up,Manual,0
C0008600,L100086,SDR01,2026-07-06 13:00:00,8,24,0,Voicemail,Genesys,0
C0008601,L100086,SDR01,2026-07-07 08:00:00,3,24,0,Busy,Genesys,0
C0008900,L100089,SDR01,2026-03-28 13:00:00,8,40,1,Connected - Demo Scheduled,Genesys,0
C0008901,L100089,SDR01,2026-03-16 19:00:00,14,192,1,Connected - Discovery,Genesys,0
C0008902,L100089,AE05,2026-03-26 17:00:00,12,262,1,Connected - Demo Scheduled,Genesys,0
C0008903,L100089,AE06,2026-03-15 19:00:00,14,236,1,Connected - Demo Scheduled,Manual,1
C0009000,L100090,SDR02,2026-07-11 21:00:00,16,615,1,Connected - Discovery,Manual,0
C0009001,L100090,SDR02,2026-07-05 09:00:00,4,36,0,Busy,Genesys,0
C0009002,L100090,AE09,2026-07-03 08:00:00,3,13,0,Voicemail,Manual,0
C0009003,L100090,AE09,2026-07-10 11:00:00,6,31,0,Wrong Number,Genesys,0
C0009004,L100090,AE09,2026-06-30 09:00:00,4,24,0,Voicemail,Manual,0
C0009100,L100091,SDR01,2026-06-17 18:00:00,13,318,1,Connected - Discovery,Manual,1
C0009200,L100092,SDR01,2026-01-20 14:00:00,8,315,1,Connected - Discovery,Genesys,0
C0009201,L100092,SDR01,2026-01-16 15:00:00,9,136,1,Connected - Discovery,Genesys,0
C0009300,L100093,SDR02,2026-02-16 16:00:00,12,331,1,Connected - Follow-up,Manual,1
C0009400,L100094,SDR02,2026-06-10 15:00:00,9,385,1,Connected - Follow-up,Manual,1
C0009401,L100094,SDR02,2026-05-31 18:00:00,12,19,0,No Answer,Genesys,0
C0009402,L100094,AE09,2026-06-05 13:00:00,7,19,0,Wrong Number,Genesys,0
C0009403,L100094,AE09,2026-06-06 19:00:00,13,237,1,Connected - Follow-up,Genesys,0
C0009500,L100095,SDR03,2026-01-11 08:00:00,2,27,0,Wrong Number,Genesys,0
C0009501,L100095,SDR03,2026-01-14 15:00:00,9,209,1,Connected - Discovery,Genesys,1
C0009502,L100095,AE04,2026-01-17 15:00:00,9,435,1,Connected - Follow-up,Genesys,0
C0009600,L100096,SDR01,2026-06-09 21:00:00,15,34,0,Voicemail,Genesys,0
C0009601,L100096,SDR01,2026-06-15 13:00:00,7,449,1,Connected - Discovery,Genesys,0
C0009602,L100096,AE03,2026-06-17 09:00:00,3,13,0,No Answer,Manual,0
C0009700,L100097,SDR03,2026-03-04 10:00:00,4,8,0,No Answer,Manual,0
C0009701,L100097,SDR03,2026-02-22 17:00:00,11,323,1,Connected - Discovery,Genesys,0
C0009702,L100097,AE06,2026-02-26 21:00:00,15,306,1,Connected - Discovery,Genesys,0
C0009703,L100097,AE04,2026-02-28 13:00:00,7,359,1,Connected - Discovery,Genesys,0
C0009704,L100097,AE05,2026-02-24 10:00:00,4,29,0,Wrong Number,Genesys,0
C0009705,L100097,AE05,2026-03-02 11:00:00,5,91,1,Connected - Discovery,Genesys,0
C0009800,L100098,SDR02,2026-06-22 15:00:00,10,291,1,Connected - Demo Scheduled,Manual,0
C0009801,L100098,SDR02,2026-06-18 09:00:00,4,31,0,No Answer,Genesys,0
C0009802,L100098,AE07,2026-06-20 10:00:00,5,40,0,No Answer,Manual,0
C0009803,L100098,AE09,2026-06-23 11:00:00,6,434,1,Connected - Follow-up,Genesys,0
C0009804,L100098,AE09,2026-06-23 11:00:00,6,495,1,Connected - Follow-up,Genesys,0
C0009900,L100099,SDR01,2026-03-02 15:00:00,10,572,1,Connected - Discovery,Genesys,0
C0010100,L100101,SDR02,2026-05-10 21:00:00,16,299,1,Connected - Discovery,Genesys,0
C0010101,L100101,SDR02,2026-05-09 08:00:00,3,255,1,Connected - Follow-up,Genesys,0
C0010200,L100102,SDR03,2026-01-30 17:00:00,13,27,0,Wrong Number,Genesys,0
C0010201,L100102,SDR03,2026-01-23 11:00:00,7,29,0,Voicemail,Genesys,0
C0010202,L100102,AE08,2026-01-23 17:00:00,13,354,1,Connected - Discovery,Genesys,0
C0010203,L100102,AE07,2026-02-05 10:00:00,6,20,0,Wrong Number,Genesys,0
C0010300,L100103,SDR04,2026-04-17 08:00:00,3,26,0,No Answer,Genesys,0
C0010301,L100103,SDR04,2026-04-18 21:00:00,16,41,0,Voicemail,Genesys,0
C0010400,L100104,SDR02,2026-04-06 17:00:00,11,29,0,No Answer,Genesys,0
C0010500,L100105,SDR03,2026-05-29 17:00:00,12,14,0,Voicemail,Genesys,0
C0010501,L100105,SDR03,2026-05-25 10:00:00,5,10,0,Wrong Number,Genesys,0
C0010502,L100105,AE04,2026-05-27 10:00:00,5,8,0,No Answer,Genesys,0
C0010503,L100105,AE05,2026-05-28 18:00:00,13,16,0,No Answer,Genesys,0
C0010504,L100105,AE05,2026-05-24 16:00:00,11,153,1,Connected - Discovery,Genesys,0
C0010505,L100105,AE05,2026-05-30 09:00:00,4,29,0,Busy,Genesys,0
C0010600,L100106,SDR01,2026-06-30 09:00:00,4,31,0,No Answer,Genesys,0
C0010601,L100106,SDR01,2026-07-09 09:00:00,4,27,0,No Answer,Genesys,0
C0010602,L100106,AE01,2026-07-03 19:00:00,14,267,1,Connected - Follow-up,Genesys,0
C0010700,L100107,SDR02,2026-05-07 15:00:00,11,353,1,Connected - Follow-up,Genesys,0
C0010800,L100108,SDR01,2026-03-17 11:00:00,6,171,1,Connected - Discovery,Genesys,0
C0010801,L100108,SDR01,2026-03-28 18:00:00,13,191,1,Connected - Discovery,Genesys,0
C0010802,L100108,AE04,2026-03-24 09:00:00,4,22,0,No Answer,Genesys,0
C0010803,L100108,AE01,2026-03-23 13:00:00,8,280,1,Connected - Demo Scheduled,Genesys,1
C0010804,L100108,AE03,2026-03-20 17:00:00,12,285,1,Connected - Discovery,Manual,0
C0010900,L100109,SDR01,2026-03-22 15:00:00,10,9,0,No Answer,Manual,0
C0010901,L100109,SDR01,2026-03-17 14:00:00,9,31,0,No Answer,Genesys,0
C0010902,L100109,AE04,2026-03-23 12:00:00,7,10,0,No Answer,Manual,0
C0010903,L100109,AE02,2026-03-25 15:00:00,10,384,1,Connected - Discovery,Genesys,1
C0010904,L100109,AE06,2026-03-26 20:00:00,15,342,1,Connected - Demo Scheduled,Genesys,1
C0011100,L100111,SDR02,2026-05-29 18:00:00,13,34,0,Busy,Genesys,0
C0011101,L100111,SDR02,2026-06-08 12:00:00,7,24,0,Wrong Number,Manual,0
C0011102,L100111,AE05,2026-06-06 11:00:00,6,13,0,No Answer,Genesys,0
C0011200,L100112,SDR01,2026-03-10 10:00:00,6,367,1,Connected - Demo Scheduled,Genesys,0
C0011300,L100113,SDR02,2026-02-03 16:00:00,11,144,1,Connected - Discovery,Manual,1
C0011301,L100113,SDR02,2026-02-06 15:00:00,10,24,0,Busy,Manual,0
C0011302,L100113,AE01,2026-02-10 16:00:00,11,218,1,Connected - Follow-up,Manual,0
C0011303,L100113,AE06,2026-02-13 18:00:00,13,30,0,No Answer,Manual,0
C0011304,L100113,AE04,2026-02-08 12:00:00,7,376,1,Connected - Discovery,Manual,0
C0011305,L100113,AE04,2026-02-09 19:00:00,14,496,1,Connected - Follow-up,Genesys,1
C0011400,L100114,SDR01,2026-03-06 21:00:00,15,445,1,Connected - Discovery,Genesys,0
C0011401,L100114,SDR01,2026-03-13 10:00:00,4,399,1,Connected - Discovery,Manual,0
C0011500,L100115,SDR03,2026-01-05 12:00:00,8,327,1,Connected - Discovery,Genesys,0
C0011501,L100115,SDR03,2026-01-07 21:00:00,17,363,1,Connected - Follow-up,Genesys,1
C0011502,L100115,AE03,2026-01-06 15:00:00,11,36,0,Wrong Number,Genesys,0
C0011503,L100115,AE02,2026-01-10 11:00:00,7,37,0,No Answer,Genesys,0
C0011504,L100115,AE05,2026-01-12 18:00:00,14,33,0,No Answer,Genesys,0
C0011505,L100115,AE04,2026-01-14 10:00:00,6,16,0,No Answer,Genesys,0
C0011600,L100116,SDR01,2026-01-26 15:00:00,9,396,1,Connected - Discovery,Genesys,0
C0011601,L100116,SDR01,2026-02-01 15:00:00,9,536,1,Connected - Follow-up,Manual,0
C0011602,L100116,AE08,2026-01-29 15:00:00,9,33,0,Busy,Genesys,0
C0011603,L100116,AE07,2026-02-01 16:00:00,10,750,1,Connected - Discovery,Genesys,1
C0011700,L100117,SDR02,2026-01-19 11:00:00,5,262,1,Connected - Follow-up,Genesys,0
C0011701,L100117,SDR02,2026-01-22 12:00:00,6,222,1,Connected - Demo Scheduled,Manual,0
C0011702,L100117,AE03,2026-01-20 17:00:00,11,23,0,Voicemail,Genesys,0
C0011800,L100118,SDR02,2026-06-02 14:00:00,9,425,1,Connected - Follow-up,Genesys,0
C0012000,L100120,SDR02,2026-05-10 16:00:00,10,24,0,Busy,Genesys,0
C0012100,L100121,SDR01,2026-04-04 16:00:00,11,256,1,Connected - Follow-up,Genesys,1
C0012200,L100122,SDR04,2026-05-15 13:00:00,8,34,0,No Answer,Manual,0
C0012201,L100122,SDR04,2026-05-14 11:00:00,6,213,1,Connected - Follow-up,Genesys,1
C0012400,L100124,SDR01,2026-06-23 17:00:00,13,19,0,Wrong Number,Genesys,0
