activity_id,lead_id,activity_at,activity_type,activity_source,rep_id,duration_minutes
A0001700B,L100017,2026-02-06 13:00:00,task,bot,SDR01,0
A0001700H,L100017,2026-02-13 18:00:00,call,human,SDR01,6
A00017X00,L100017,2026-02-17 17:00:00,email,human,AE06,60
A00017X01,L100017,2026-02-13 14:00:00,task,human,AE03,27
A0001800B,L100018,2026-03-28 11:00:00,whatsapp,system,,0
A0001800H,L100018,2026-03-31 09:00:00,call,human,SDR02,10
A0001801H,L100018,2026-04-05 14:00:00,call,human,SDR02,7
A0001802H,L100018,2026-03-31 11:00:00,call,human,AE08,8
A0001803H,L100018,2026-04-02 12:00:00,call,human,AE09,1
A00018X00,L100018,2026-03-31 17:00:00,email,human,AE09,15
A00018X01,L100018,2026-03-25 08:00:00,note,human,AE09,37
A00018X02,L100018,2026-04-08 10:00:00,task,human,AE07,13
A0001900H,L100019,2026-02-06 15:00:00,call,human,SDR02,6
A0001901H,L100019,2026-01-28 14:00:00,call,human,SDR02,1
A0001902H,L100019,2026-02-04 19:00:00,call,human,AE07,9
A0001903H,L100019,2026-02-03 12:00:00,call,human,AE08,8
A0001904H,L100019,2026-02-04 10:00:00,call,human,AE09,1
A00019X00,L100019,2026-02-06 14:00:00,note,human,AE09,31
A00019X01,L100019,2026-02-09 14:00:00,email,human,AE09,35
A00019X02,L100019,2026-02-01 17:00:00,meeting,human,AE09,10
A00019X03,L100019,2026-01-28 08:00:00,meeting,human,AE07,9
A0002000B,L100020,2026-05-06 12:00:00,task,bot,SDR02,0
A0002001B,L100020,2026-05-05 23:00:00,task,bot,SDR02,0
A0002002B,L100020,2026-05-05 19:00:00,email,system,,0
A0002000H,L100020,2026-05-07 16:00:00,call,human,SDR02,1
A0002001H,L100020,2026-05-10 18:00:00,call,human,SDR02,7
A0002002H,L100020,2026-05-17 18:00:00,call,human,AE09,1
A00020X00,L100020,2026-05-23 12:00:00,whatsapp,human,AE07,32
A00020X01,L100020,2026-05-13 08:00:00,whatsapp,human,AE07,37
A00020X02,L100020,2026-05-11 10:00:00,meeting,human,AE09,26
A00020X03,L100020,2026-05-06 09:00:00,email,human,AE08,49
A0002100B,L100021,2026-03-31 01:00:00,task,bot,SDR04,0
A0002100H,L100021,2026-03-30 21:00:00,call,human,SDR04,5
A00021X00,L100021,2026-03-28 17:00:00,meeting,human,AE05,56
A00021X01,L100021,2026-04-09 17:00:00,meeting,human,AE02,45
A0002200B,L100022,2026-03-03 10:00:00,task,bot,SDR02,0
A0002201B,L100022,2026-03-02 10:00:00,whatsapp,system,,0
A0002202B,L100022,2026-03-03 04:00:00,email,bot,SDR02,0
A0002200H,L100022,2026-03-01 18:00:00,call,human,SDR02,1
A0002201H,L100022,2026-03-05 21:00:00,call,human,SDR02,7
A00022X00,L100022,2026-03-19 15:00:00,email,human,AE08,22
A00022X01,L100022,2026-03-19 17:00:00,email,human,AE09,51
A00022X02,L100022,2026-03-11 19:00:00,whatsapp,human,AE08,50
A00022X03,L100022,2026-03-10 10:00:00,whatsapp,human,AE09,47
A0002300H,L100023,2026-02-15 08:00:00,call,human,SDR01,1
A0002301H,L100023,2026-02-11 18:00:00,call,human,SDR01,8
A0002302H,L100023,2026-02-15 15:00:00,call,human,AE07,8
A00023X00,L100023,2026-02-27 08:00:00,note,human,AE09,46
A00023X01,L100023,2026-02-28 15:00:00,task,human,AE08,37
A00024X00,L100024,2026-04-13 15:00:00,meeting,human,AE02,48
A00024X01,L100024,2026-04-17 16:00:00,email,human,AE01,48
A0002500B,L100025,2026-05-03 23:00:00,whatsapp,system,,0
A0002501B,L100025,2026-05-03 22:00:00,whatsapp,system,,0
A0002502B,L100025,2026-05-03 16:00:00,whatsapp,system,,0
A0002500H,L100025,2026-05-12 17:00:00,call,human,SDR02,7
A0002501H,L100025,2026-05-04 09:00:00,call,human,SDR02,1
A0002502H,L100025,2026-05-14 16:00:00,call,human,AE08,5
A0002503H,L100025,2026-05-11 09:00:00,call,human,AE09,1
A0002504H,L100025,2026-05-02 14:00:00,call,human,AE08,1
A00025X00,L100025,2026-05-06 11:00:00,email,human,AE09,15
A0002600B,L100026,2026-06-20 02:00:00,email,system,,0
A0002601B,L100026,2026-06-22 21:00:00,whatsapp,bot,SDR02,0
A0002602B,L100026,2026-06-22 17:00:00,task,bot,SDR02,0
A0002600H,L100026,2026-06-30 12:00:00,call,human,SDR02,1
A0002601H,L100026,2026-06-25 19:00:00,call,human,SDR02,4
A0002602H,L100026,2026-06-23 12:00:00,call,human,AE07,11
A00026X00,L100026,2026-07-03 10:00:00,email,human,AE08,44
A00026X01,L100026,2026-07-06 19:00:00,whatsapp,human,AE09,60
A0002700B,L100027,2026-03-22 17:00:00,task,bot,SDR01,0
A0002701B,L100027,2026-03-23 04:00:00,whatsapp,bot,SDR01,0
A0002700H,L100027,2026-03-23 10:00:00,call,human,SDR01,7
A0002701H,L100027,2026-03-29 08:00:00,call,human,SDR01,1
A00027X00,L100027,2026-03-25 14:00:00,whatsapp,human,AE01,22
A00027X01,L100027,2026-03-21 13:00:00,email,human,AE05,18
A00027X02,L100027,2026-04-04 12:00:00,email,human,AE04,13
A00027X03,L100027,2026-03-29 14:00:00,note,human,AE06,35
A0002800H,L100028,2026-02-12 19:00:00,call,human,SDR01,1
A0002801H,L100028,2026-02-03 14:00:00,call,human,SDR01,4
A0002802H,L100028,2026-02-04 21:00:00,call,human,AE09,1
A0002803H,L100028,2026-01-31 19:00:00,call,human,AE08,3
A0002804H,L100028,2026-02-03 19:00:00,call,human,AE09,6
A0002805H,L100028,2026-02-01 12:00:00,call,human,AE09,1
A00028X00,L100028,2026-02-14 11:00:00,task,human,AE09,48
A00028X01,L100028,2026-02-13 13:00:00,email,human,AE08,53
A00028X02,L100028,2026-02-02 18:00:00,note,human,AE09,41
A00028X03,L100028,2026-02-07 08:00:00,task,human,AE09,30
A0002900H,L100029,2026-06-02 11:00:00,call,human,SDR01,1
A0002901H,L100029,2026-06-08 08:00:00,call,human,SDR01,1
A0002902H,L100029,2026-06-01 19:00:00,call,human,AE05,6
A0002903H,L100029,2026-06-08 21:00:00,call,human,AE05,1
A00029X00,L100029,2026-06-12 08:00:00,note,human,AE01,5
A00029X01,L100029,2026-06-04 08:00:00,task,human,AE05,42
A0003000B,L100030,2026-04-26 11:00:00,task,system,,0
A0003000H,L100030,2026-04-24 15:00:00,call,human,SDR02,5
A0003001H,L100030,2026-05-05 16:00:00,call,human,SDR02,1
A00030X00,L100030,2026-05-01 15:00:00,note,human,AE03,36
A00030X01,L100030,2026-05-05 17:00:00,email,human,AE04,7
A00030X02,L100030,2026-05-04 10:00:00,email,human,AE01,52
A0003100H,L100031,2026-05-07 11:00:00,call,human,SDR01,6
A00031X00,L100031,2026-05-09 12:00:00,email,human,AE02,21
A00031X01,L100031,2026-05-26 19:00:00,task,human,AE06,22
A00031X02,L100031,2026-05-09 09:00:00,meeting,human,AE01,25
A00031X03,L100031,2026-05-10 10:00:00,whatsapp,human,AE06,20
A0003200B,L100032,2026-01-20 08:00:00,email,system,,0
A0003201B,L100032,2026-01-21 03:00:00,task,bot,SDR04,0
A0003200H,L100032,2026-01-26 19:00:00,call,human,SDR04,4
A0003201H,L100032,2026-01-19 09:00:00,call,human,SDR04,9
A00032X00,L100032,2026-02-02 09:00:00,task,human,AE05,7
A00032X01,L100032,2026-01-22 16:00:00,note,human,AE06,25
A00032X02,L100032,2026-01-19 17:00:00,note,human,AE01,10
A0003300B,L100033,2026-02-27 08:00:00,task,bot,SDR02,0
A0003301B,L100033,2026-02-26 19:00:00,whatsapp,system,,0
A0003302B,L100033,2026-03-01 22:00:00,whatsapp,system,,0
A0003300H,L100033,2026-03-01 21:00:00,call,human,SDR02,6
A00033X00,L100033,2026-03-12 13:00:00,whatsapp,human,AE09,11
A00033X01,L100033,2026-03-04 10:00:00,email,human,AE07,17
A00033X02,L100033,2026-03-09 12:00:00,whatsapp,human,AE08,17
A00033X03,L100033,2026-03-09 15:00:00,email,human,AE07,16
A0003400B,L100034,2026-05-19 02:00:00,task,bot,SDR02,0
A0003401B,L100034,2026-05-20 13:00:00,whatsapp,bot,SDR02,0
A0003400H,L100034,2026-05-26 14:00:00,call,human,SDR02,6
A00034X00,L100034,2026-06-02 15:00:00,note,human,AE03,44
A00034X01,L100034,2026-05-24 18:00:00,meeting,human,AE01,15
A00034X02,L100034,2026-05-25 13:00:00,email,human,AE03,56
A00034X03,L100034,2026-06-01 11:00:00,meeting,human,AE01,28
A0003500B,L100035,2026-05-31 07:00:00,email,system,,0
A0003500H,L100035,2026-06-09 11:00:00,call,human,SDR02,1
A0003501H,L100035,2026-06-06 16:00:00,call,human,SDR02,5
A00035X00,L100035,2026-06-05 09:00:00,meeting,human,AE02,53
A00035X01,L100035,2026-06-06 09:00:00,task,human,AE06,7
A0003600B,L100036,2026-03-21 02:00:00,email,system,,0
A0003600H,L100036,2026-04-01 21:00:00,call,human,SDR02,1
A0003700B,L100037,2026-05-29 13:00:00,whatsapp,bot,SDR02,0
A0003700H,L100037,2026-06-02 17:00:00,call,human,SDR02,5
A0003701H,L100037,2026-06-06 17:00:00,call,human,SDR02,5
A00037X00,L100037,2026-05-28 17:00:00,email,human,AE01,41
A0003800B,L100038,2026-06-03 09:00:00,task,bot,SDR02,0
A0003801B,L100038,2026-06-04 22:00:00,task,bot,SDR02,0
A0003802B,L100038,2026-06-02 12:00:00,whatsapp,bot,SDR02,0
A0003800H,L100038,2026-06-05 14:00:00,call,human,SDR02,1
A0003801H,L100038,2026-06-11 12:00:00,call,human,SDR02,7
A0003802H,L100038,2026-06-12 20:00:00,call,human,AE08,1
A0003803H,L100038,2026-06-15 11:00:00,call,human,AE08,10
A0003804H,L100038,2026-06-07 17:00:00,call,human,AE07,1
A00038X00,L100038,2026-06-10 09:00:00,task,human,AE09,48
A00038X01,L100038,2026-06-15 08:00:00,task,human,AE08,50
A00038X02,L100038,2026-06-20 12:00:00,task,human,AE07,59
A00038X03,L100038,2026-06-02 08:00:00,note,human,AE07,17
A0003900B,L100039,2026-03-15 22:00:00,email,system,,0
A0003900H,L100039,2026-03-22 09:00:00,call,human,SDR01,1
A0003901H,L100039,2026-03-19 20:00:00,call,human,SDR01,1
A0003902H,L100039,2026-03-25 19:00:00,call,human,AE08,1
A00039X00,L100039,2026-03-30 08:00:00,note,human,AE09,59
A00039X01,L100039,2026-03-23 08:00:00,task,human,AE07,25
A00039X02,L100039,2026-03-26 13:00:00,task,human,AE07,20
A0004000B,L100040,2026-06-13 07:00:00,task,bot,SDR02,0
A0004001B,L100040,2026-06-12 15:00:00,task,bot,SDR02,0
A0004002B,L100040,2026-06-14 00:00:00,task,bot,SDR02,0
A0004000H,L100040,2026-06-13 18:00:00,call,human,SDR02,5
A0004001H,L100040,2026-06-21 14:00:00,call,human,SDR02,7
A0004100B,L100041,2026-02-24 09:00:00,task,system,,0
A0004100H,L100041,2026-02-26 21:00:00,call,human,SDR02,1
A00041X00,L100041,2026-03-12 12:00:00,meeting,human,AE02,27
A0004200B,L100042,2026-02-16 20:00:00,email,system,,0
A0004200H,L100042,2026-02-23 12:00:00,call,human,SDR02,1
A0004201H,L100042,2026-02-25 10:00:00,call,human,SDR02,5
A00042X00,L100042,2026-02-27 15:00:00,whatsapp,human,AE02,60
A00042X01,L100042,2026-02-19 16:00:00,note,human,AE04,10
A0004300H,L100043,2026-05-11 15:00:00,call,human,SDR01,1
A0004301H,L100043,2026-05-05 15:00:00,call,human,SDR01,1
A0004400B,L100044,2026-04-29 13:00:00,email,system,,0
A00044X00,L100044,2026-04-26 17:00:00,whatsapp,human,AE04,50
A00044X01,L100044,2026-05-01 19:00:00,whatsapp,human,AE06,41
A00044X02,L100044,2026-05-13 16:00:00,task,human,AE06,41
A00044X03,L100044,2026-05-15 12:00:00,meeting,human,AE01,25
A00045X00,L100045,2026-02-05 11:00:00,meeting,human,AE05,52
A00045X01,L100045,2026-02-13 15:00:00,meeting,human,AE05,48
A0004600H,L100046,2026-06-11 08:00:00,call,human,SDR03,1
A0004601H,L100046,2026-06-09 19:00:00,call,human,SDR03,5
A0004602H,L100046,2026-06-01 15:00:00,call,human,AE05,6
A0004603H,L100046,2026-05-31 19:00:00,call,human,AE06,1
A00046X00,L100046,2026-06-11 09:00:00,meeting,human,AE05,7
A00046X01,L100046,2026-06-08 15:00:00,note,human,AE01,33
A00046X02,L100046,2026-06-15 11:00:00,whatsapp,human,AE05,49
A0004700H,L100047,2026-02-09 17:00:00,call,human,SDR02,9
A0004701H,L100047,2026-02-08 18:00:00,call,human,SDR02,1
A0004702H,L100047,2026-02-12 11:00:00,call,human,AE03,5
A0004800B,L100048,2026-05-29 11:00:00,task,bot,SDR01,0
A0004800H,L100048,2026-06-05 14:00:00,call,human,SDR01,1
A0004801H,L100048,2026-06-05 13:00:00,call,human,SDR01,1
A00048X00,L100048,2026-06-11 12:00:00,email,human,AE03,21
A0004900B,L100049,2026-01-04 10:00:00,task,system,,0
A0004901B,L100049,2026-01-03 20:00:00,task,bot,SDR02,0
A0004902B,L100049,2026-01-04 01:00:00,whatsapp,system,,0
A0004900H,L100049,2026-01-14 20:00:00,call,human,SDR02,1
A0004901H,L100049,2026-01-04 10:00:00,call,human,SDR02,1
A0004902H,L100049,2026-01-15 21:00:00,call,human,AE06,3
A00049X00,L100049,2026-01-12 09:00:00,meeting,human,AE04,16
A00049X01,L100049,2026-01-15 15:00:00,note,human,AE04,36
A00049X02,L100049,2026-01-19 18:00:00,task,human,AE01,37
A00049X03,L100049,2026-01-05 16:00:00,email,human,AE02,32
A0005000B,L100050,2026-05-28 08:00:00,whatsapp,system,,0
A0005000H,L100050,2026-06-03 10:00:00,call,human,SDR01,1
A0005001H,L100050,2026-05-25 16:00:00,call,human,SDR01,8
A0005002H,L100050,2026-06-06 18:00:00,call,human,AE07,1
A0005003H,L100050,2026-05-29 13:00:00,call,human,AE08,5
A00050X00,L100050,2026-05-25 14:00:00,email,human,AE07,11
A0005100B,L100051,2026-05-26 19:00:00,task,bot,SDR02,0
A0005101B,L100051,2026-05-24 11:00:00,whatsapp,bot,SDR02,0
A0005100H,L100051,2026-05-26 19:00:00,call,human,SDR02,8
A0005101H,L100051,2026-06-04 18:00:00,call,human,SDR02,1
A0005102H,L100051,2026-05-23 10:00:00,call,human,AE09,1
A0005103H,L100051,2026-06-04 20:00:00,call,human,AE08,6
A0005104H,L100051,2026-05-24 14:00:00,call,human,AE08,7
A00051X00,L100051,2026-05-31 11:00:00,note,human,AE07,5
A0005200B,L100052,2026-05-24 23:00:00,email,system,,0
A0005201B,L100052,2026-05-24 04:00:00,email,system,,0
A00052X00,L100052,2026-06-06 11:00:00,email,human,AE06,10
A00052X01,L100052,2026-06-08 09:00:00,meeting,human,AE06,10
A00052X02,L100052,2026-05-22 16:00:00,whatsapp,human,AE06,53
A00052X03,L100052,2026-06-03 15:00:00,whatsapp,human,AE04,17
A0005300B,L100053,2026-05-04 01:00:00,whatsapp,bot,SDR03,0
A0005300H,L100053,2026-05-05 20:00:00,call,human,SDR03,8
A0005301H,L100053,2026-05-12 20:00:00,call,human,SDR03,9
A00053X00,L100053,2026-05-01 16:00:00,email,human,AE09,46
A00053X01,L100053,2026-05-20 17:00:00,email,human,AE09,5
A0005400B,L100054,2026-03-29 04:00:00,whatsapp,system,,0
A0005400H,L100054,2026-04-07 15:00:00,call,human,SDR01,9
A0005401H,L100054,2026-04-05 11:00:00,call,human,SDR01,1
A0005402H,L100054,2026-03-29 16:00:00,call,human,AE08,7
A00054X00,L100054,2026-03-31 08:00:00,note,human,AE07,45
A00054X01,L100054,2026-04-09 14:00:00,whatsapp,human,AE07,11
A00054X02,L100054,2026-04-01 16:00:00,task,human,AE09,60
A00054X03,L100054,2026-03-29 12:00:00,task,human,AE07,50
A0005500B,L100055,2026-05-11 07:00:00,task,bot,SDR01,0
A0005500H,L100055,2026-05-12 21:00:00,call,human,SDR01,9
A0005501H,L100055,2026-05-12 19:00:00,call,human,SDR01,4
A0005502H,L100055,2026-05-21 12:00:00,call,human,AE03,1
A00055X00,L100055,2026-05-16 15:00:00,note,human,AE04,46
A00055X01,L100055,2026-05-09 19:00:00,whatsapp,human,AE04,6
A0005600B,L100056,2026-02-20 18:00:00,email,bot,SDR02,0
A0005601B,L100056,2026-02-22 05:00:00,email,bot,SDR02,0
A0005602B,L100056,2026-02-23 15:00:00,whatsapp,bot,SDR02,0
A0005600H,L100056,2026-02-22 11:00:00,call,human,SDR02,4
A00056X00,L100056,2026-02-28 08:00:00,task,human,AE01,35
A00056X01,L100056,2026-03-05 08:00:00,note,human,AE04,27
A00056X02,L100056,2026-03-08 10:00:00,task,human,AE06,34
A00056X03,L100056,2026-03-06 17:00:00,note,human,AE05,49
A0005700B,L100057,2026-05-25 05:00:00,whatsapp,bot,SDR01,0
A0005701B,L100057,2026-05-22 05:00:00,email,bot,SDR01,0
A0005702B,L100057,2026-05-23 20:00:00,email,bot,SDR01,0
A0005700H,L100057,2026-06-01 15:00:00,call,human,SDR01,1
A00057X00,L100057,2026-05-23 13:00:00,whatsapp,human,AE06,22
A00057X01,L100057,2026-05-23 11:00:00,email,human,AE03,37
A0005800H,L100058,2026-04-23 16:00:00,call,human,SDR01,8
A0005801H,L100058,2026-04-22 19:00:00,call,human,SDR01,9
A0005802H,L100058,2026-04-17 19:00:00,call,human,AE07,1
A00058X00,L100058,2026-04-14 13:00:00,meeting,human,AE09,5
A00058X01,L100058,2026-04-18 09:00:00,task,human,AE07,10
A0005900H,L100059,2026-03-26 16:00:00,call,human,SDR02,5
A0005901H,L100059,2026-04-05 09:00:00,call,human,SDR02,1
A00059X00,L100059,2026-04-02 10:00:00,email,human,AE03,14
A0006000B,L100060,2026-04-05 07:00:00,whatsapp,system,,0
A0006000H,L100060,2026-04-10 20:00:00,call,human,SDR01,1
A00060X00,L100060,2026-04-21 17:00:00,task,human,AE04,16
A00060X01,L100060,2026-04-19 13:00:00,email,human,AE06,36
A0006100H,L100061,2026-04-19 09:00:00,call,human,SDR02,1
A0006101H,L100061,2026-04-24 16:00:00,call,human,SDR02,1
A00061X00,L100061,2026-04-18 18:00:00,task,human,AE02,9
A00061X01,L100061,2026-04-23 14:00:00,meeting,human,AE03,57
A00061X02,L100061,2026-04-21 17:00:00,email,human,AE05,47
A0006200B,L100062,2026-01-07 08:00:00,email,bot,SDR01,0
A0006201B,L100062,2026-01-07 23:00:00,whatsapp,system,,0
A0006202B,L100062,2026-01-10 08:00:00,whatsapp,bot,SDR01,0
A0006200H,L100062,2026-01-18 18:00:00,call,human,SDR01,5
A00062X00,L100062,2026-01-12 14:00:00,note,human,AE02,6
A00062X01,L100062,2026-01-14 12:00:00,task,human,AE06,26
A00062X02,L100062,2026-01-24 10:00:00,email,human,AE06,14
A0006300H,L100063,2026-02-02 11:00:00,call,human,SDR01,1
A00063X00,L100063,2026-02-06 09:00:00,note,human,AE08,21
A00063X01,L100063,2026-01-26 10:00:00,note,human,AE08,10
A00063X02,L100063,2026-02-12 15:00:00,note,human,AE09,60
A00063X03,L100063,2026-02-10 18:00:00,note,human,AE09,31
A0006400B,L100064,2026-02-14 22:00:00,whatsapp,system,,0
A0006401B,L100064,2026-02-16 10:00:00,email,system,,0
A0006402B,L100064,2026-02-16 20:00:00,whatsapp,system,,0
A0006400H,L100064,2026-02-20 19:00:00,call,human,SDR01,2
A0006401H,L100064,2026-02-14 19:00:00,call,human,SDR01,5
A0006402H,L100064,2026-02-23 12:00:00,call,human,AE06,1
A0006500B,L100065,2026-01-24 23:00:00,whatsapp,system,,0
A0006500H,L100065,2026-01-31 10:00:00,call,human,SDR03,1
A0006501H,L100065,2026-02-03 13:00:00,call,human,SDR03,1
A0006502H,L100065,2026-01-30 16:00:00,call,human,AE07,7
A0006503H,L100065,2026-01-24 14:00:00,call,human,AE08,6
A0006504H,L100065,2026-01-27 12:00:00,call,human,AE08,5
A00065X00,L100065,2026-02-07 15:00:00,note,human,AE09,10
A00065X01,L100065,2026-01-21 18:00:00,email,human,AE07,32
A0006600H,L100066,2026-03-23 08:00:00,call,human,SDR01,9
A0006601H,L100066,2026-03-28 13:00:00,call,human,SDR01,8
A0006602H,L100066,2026-03-29 21:00:00,call,human,AE09,8
A0006603H,L100066,2026-03-27 17:00:00,call,human,AE07,1
A00066X00,L100066,2026-04-09 16:00:00,note,human,AE08,7
A00066X01,L100066,2026-03-23 12:00:00,whatsapp,human,AE09,44
A00066X02,L100066,2026-03-21 10:00:00,note,human,AE09,52
A0006700B,L100067,2026-05-03 10:00:00,whatsapp,bot,SDR02,0
A00067X00,L100067,2026-05-04 10:00:00,meeting,human,AE07,24
A0006800B,L100068,2026-04-30 20:00:00,whatsapp,system,,0
A0006801B,L100068,2026-05-01 14:00:00,whatsapp,bot,SDR02,0
A0006800H,L100068,2026-05-11 11:00:00,call,human,SDR02,1
A0006801H,L100068,2026-04-29 10:00:00,call,human,SDR02,1
A00068X00,L100068,2026-05-06 10:00:00,email,human,AE01,25
A00068X01,L100068,2026-04-30 17:00:00,task,human,AE03,6
A0006900B,L100069,2026-03-28 19:00:00,email,bot,SDR01,0
A0006900H,L100069,2026-04-04 19:00:00,call,human,SDR01,9
A0006901H,L100069,2026-04-07 16:00:00,call,human,SDR01,1
A00069X00,L100069,2026-04-11 10:00:00,note,human,AE08,26
A0007000B,L100070,2026-06-06 21:00:00,email,system,,0
A0007000H,L100070,2026-06-15 10:00:00,call,human,SDR01,1
A0007001H,L100070,2026-06-17 11:00:00,call,human,SDR01,1
A00070X00,L100070,2026-06-10 15:00:00,task,human,AE06,59
A00070X01,L100070,2026-06-20 17:00:00,email,human,AE06,20
A00070X02,L100070,2026-06-14 19:00:00,meeting,human,AE06,6
A00070X03,L100070,2026-06-04 09:00:00,note,human,AE05,54
A0007100B,L100071,2026-04-13 02:00:00,task,system,,0
A0007100H,L100071,2026-04-18 15:00:00,call,human,SDR02,1
A0007101H,L100071,2026-04-24 11:00:00,call,human,SDR02,1
A0007102H,L100071,2026-04-26 09:00:00,call,human,AE04,6
A00071X00,L100071,2026-04-26 09:00:00,meeting,human,AE02,60
A0007200B,L100072,2026-01-16 02:00:00,task,bot,SDR02,0
A0007200H,L100072,2026-01-17 09:00:00,call,human,SDR02,8
A0007201H,L100072,2026-01-16 15:00:00,call,human,SDR02,9
A00072X00,L100072,2026-02-02 11:00:00,email,human,AE08,30
