lead_id,bot_variant,first_bot_touch_at,first_touch_local_hour,after_hours_flag,num_messages_sent,replied_flag,meeting_booked_by_bot_flag,handoff_to_rep_delay_minutes
L100153,Periskope-B,2026-06-27 18:00:00,12,0,9,0,0,47
L100154,Periskope-A,2026-02-17 23:00:00,18,0,7,0,0,114
L100157,Periskope-B,2026-05-10 03:00:00,21,1,4,1,0,12
L100159,Periskope-A,2026-03-23 07:00:00,2,1,4,1,0,45
L100160,Periskope-A,2026-05-14 04:00:00,23,1,3,0,0,56
L100162,Periskope-A,2026-01-17 23:00:00,18,0,7,0,0,90
L100164,Periskope-B,2026-03-23 18:00:00,13,0,4,0,0,51
L100165,Periskope-A,2026-06-15 08:00:00,3,1,4,1,0,93
L100166,Periskope-A,2026-01-24 19:00:00,14,0,3,1,0,81
L100168,Periskope-A,2026-05-09 07:00:00,2,1,2,0,0,162
L100169,Periskope-A,2026-02-07 18:00:00,13,0,8,0,0,5
L100171,Periskope-A,2026-02-27 06:00:00,1,1,6,1,0,34
L100174,Periskope-A,2026-04-09 12:00:00,7,1,4,0,0,5
L100176,Periskope-B,2026-03-26 12:00:00,7,1,3,0,0,60
L100177,Periskope-B,2026-06-05 12:00:00,6,1,8,0,0,101
L100178,Periskope-A,2026-01-04 12:00:00,8,0,6,0,0,70
L100179,Periskope-B,2026-05-20 11:00:00,5,1,5,0,0,107
L100181,Periskope-B,2026-05-12 13:00:00,7,1,7,0,0,34
L100182,Periskope-A,2026-05-02 19:00:00,13,0,3,0,0,6
L100183,Periskope-A,2026-03-21 22:00:00,17,0,8,0,0,5
L100185,Periskope-B,2026-04-26 17:00:00,13,0,2,1,1,59
L100186,Periskope-A,2026-01-28 00:00:00,18,0,9,0,0,21
L100187,Periskope-A,2026-04-16 10:00:00,5,1,9,1,0,33
L100189,Periskope-A,2026-04-29 15:00:00,9,0,6,1,1,56
L100190,Periskope-A,2026-04-25 03:00:00,23,1,6,0,0,82
L100193,Periskope-A,2026-03-17 15:00:00,10,0,8,0,0,45
L100194,Periskope-A,2026-05-24 04:00:00,23,1,5,1,1,83
L100196,Periskope-A,2026-02-03 05:00:00,23,1,3,0,0,96
L100197,Periskope-A,2026-03-31 11:00:00,6,1,3,1,0,105
L100199,Periskope-B,2026-03-03 20:00:00,14,0,4,0,0,5
L100201,Periskope-A,2026-01-28 06:00:00,1,1,5,0,0,136
L100202,Periskope-B,2026-05-05 17:00:00,11,0,8,0,0,178
L100204,Periskope-A,2026-02-01 16:00:00,10,0,4,0,0,28
L100205,Periskope-A,2026-04-17 12:00:00,6,1,2,0,0,71
L100206,Periskope-A,2026-05-25 11:00:00,6,1,8,0,0,99
L100208,Periskope-A,2026-02-24 03:00:00,22,1,2,0,0,5
L100210,Periskope-B,2026-07-01 13:00:00,7,1,2,0,0,46
L100211,Periskope-A,2026-04-18 19:00:00,14,0,3,0,0,67
L100212,Periskope-B,2026-03-23 21:00:00,15,0,7,0,0,41
L100214,Periskope-B,2026-04-23 19:00:00,13,0,2,1,0,97
L100215,Periskope-A,2026-04-18 23:00:00,17,0,8,0,0,29
L100218,Periskope-A,2026-01-30 11:00:00,6,1,8,0,0,106
L100219,Periskope-A,2026-06-25 08:00:00,4,1,6,0,0,66
L100222,Periskope-B,2026-03-26 02:00:00,22,1,8,0,0,53
L100223,Periskope-A,2026-05-23 11:00:00,5,1,7,1,0,42
L100224,Periskope-A,2026-01-14 19:00:00,13,0,5,0,0,59
L100227,Periskope-A,2026-03-31 19:00:00,14,0,5,0,0,21
L100228,Periskope-A,2026-05-03 13:00:00,7,1,8,0,0,129
L100229,Periskope-A,2026-03-30 15:00:00,9,0,5,0,0,5
L100231,Periskope-B,2026-06-19 17:00:00,13,0,2,0,0,232
L100233,Periskope-A,2026-04-16 11:00:00,7,1,3,0,0,105
L100236,Periskope-B,2026-05-27 06:00:00,0,1,8,1,1,56
L100237,Periskope-A,2026-02-19 11:00:00,6,1,3,0,0,5
L100238,Periskope-A,2026-06-23 11:00:00,6,1,8,1,1,5
L100239,Periskope-B,2026-03-02 14:00:00,9,0,8,0,0,5
L100240,Periskope-A,2026-04-11 01:00:00,19,1,7,0,0,47
L100241,Periskope-A,2026-04-06 12:00:00,7,1,6,1,0,74
L100242,Periskope-B,2026-06-03 01:00:00,20,1,2,1,1,5
L100245,Periskope-A,2026-01-06 06:00:00,1,1,8,0,0,23
L100246,Periskope-A,2026-03-08 09:00:00,3,1,6,0,0,16
L100247,Periskope-A,2026-05-31 04:00:00,23,1,2,1,1,21
L100250,Periskope-A,2026-04-09 22:00:00,17,0,7,0,0,9
L100251,Periskope-A,2026-01-26 01:00:00,20,1,3,0,0,67
L100253,Periskope-A,2026-04-12 09:00:00,4,1,6,0,0,103
L100254,Periskope-A,2026-02-28 13:00:00,9,0,5,0,0,26
L100255,Periskope-A,2026-01-21 06:00:00,1,1,8,0,0,5
L100256,Periskope-A,2026-05-03 09:00:00,3,1,3,0,0,50
L100257,Periskope-B,2026-05-03 02:00:00,21,1,4,0,0,12
L100258,Periskope-A,2026-01-22 19:00:00,13,0,6,0,0,126
L100259,Periskope-A,2026-02-20 06:00:00,1,1,5,0,0,21
L100260,Periskope-A,2026-02-16 05:00:00,0,1,9,1,0,145
L100262,Periskope-B,2026-05-14 14:00:00,9,0,4,0,0,22
L100265,Periskope-A,2026-05-21 20:00:00,15,0,9,1,0,60
L100267,Periskope-A,2026-01-20 15:00:00,10,0,3,0,0,97
L100268,Periskope-A,2026-04-23 17:00:00,12,0,3,1,0,5
L100270,Periskope-A,2026-06-28 19:00:00,13,0,2,0,0,91
L100273,Periskope-A,2026-01-08 15:00:00,10,0,2,0,0,21
L100275,Periskope-A,2026-04-11 03:00:00,23,1,3,0,0,8
L100276,Periskope-B,2026-04-10 04:00:00,0,1,6,0,0,193
L100277,Periskope-A,2026-03-11 15:00:00,11,0,5,1,0,40
L100278,Periskope-A,2026-02-26 08:00:00,3,1,2,0,0,49
L100279,Periskope-A,2026-06-02 18:00:00,13,0,7,0,0,166
L100282,Periskope-B,2026-06-26 01:00:00,19,1,4,0,0,6
L100283,Periskope-A,2026-02-28 03:00:00,22,1,8,0,0,14
L100285,Periskope-B,2026-06-24 02:00:00,21,1,3,0,0,38
L100286,Periskope-B,2026-04-27 01:00:00,21,1,9,0,0,5
L100287,Periskope-A,2026-02-22 10:00:00,5,1,8,0,0,16
L100289,Periskope-A,2026-04-06 11:00:00,5,1,5,1,1,38
L100290,Periskope-B,2026-06-13 04:00:00,23,1,7,0,0,265
L100292,Periskope-A,2026-06-30 11:00:00,7,1,7,0,0,112
L100293,Periskope-A,2026-06-20 09:00:00,3,1,4,0,0,167
L100294,Periskope-A,2026-02-02 09:00:00,3,1,7,0,0,5
L100295,Periskope-A,2026-01-30 23:00:00,19,1,9,1,1,51
L100298,Periskope-A,2026-02-26 22:00:00,16,0,2,0,0,121
L100299,Periskope-B,2026-03-22 13:00:00,7,1,2,0,0,5
L100302,Periskope-A,2026-01-28 18:00:00,12,0,5,0,0,64
L100303,Periskope-A,2026-06-12 04:00:00,0,1,3,0,0,118
L100304,Periskope-A,2026-01-19 00:00:00,19,1,8,0,0,13
L100305,Periskope-A,2026-05-18 22:00:00,16,0,9,0,0,24
L100306,Periskope-B,2026-06-04 19:00:00,13,0,2,0,0,204
L100307,Periskope-A,2026-06-12 07:00:00,2,1,3,1,0,84
L100309,Periskope-B,2026-06-13 23:00:00,17,0,8,0,0,39
L100311,Periskope-A,2026-04-04 09:00:00,3,1,2,0,0,53
L100314,Periskope-A,2026-01-07 16:00:00,11,0,7,0,0,87
L100315,Periskope-B,2026-05-20 14:00:00,9,0,6,0,0,166
L100317,Periskope-B,2026-05-01 09:00:00,3,1,3,0,0,102
L100319,Periskope-A,2026-03-11 17:00:00,12,0,6,0,0,74
L100320,Periskope-B,2026-06-12 15:00:00,10,0,5,0,0,192
L100322,Periskope-B,2026-05-16 23:00:00,18,0,3,0,0,261
L100323,Periskope-A,2026-05-17 05:00:00,23,1,7,0,0,53
L100324,Periskope-A,2026-03-11 05:00:00,23,1,3,0,0,87
L100325,Periskope-A,2026-02-18 23:00:00,17,0,6,1,0,5
L100326,Periskope-A,2026-01-02 05:00:00,0,1,9,0,0,108
L100327,Periskope-A,2026-06-19 05:00:00,1,1,2,0,0,19
L100328,Periskope-A,2026-06-21 22:00:00,17,0,4,0,0,81
L100333,Periskope-B,2026-06-01 15:00:00,9,0,9,0,0,115
L100335,Periskope-A,2026-01-28 11:00:00,6,1,3,0,0,62
L100336,Periskope-A,2026-05-16 12:00:00,7,1,8,0,0,81
L100338,Periskope-A,2026-03-08 02:00:00,22,1,3,0,0,62
L100339,Periskope-B,2026-04-21 13:00:00,9,0,3,1,0,15
L100341,Periskope-A,2026-06-09 21:00:00,16,0,9,0,0,81
L100342,Periskope-A,2026-01-10 08:00:00,2,1,9,0,0,5
L100346,Periskope-A,2026-06-30 23:00:00,17,0,5,0,0,146
L100350,Periskope-B,2026-04-03 09:00:00,3,1,9,0,0,118
L100351,Periskope-A,2026-04-02 02:00:00,20,1,7,0,0,5
L100352,Periskope-B,2026-03-20 21:00:00,15,0,3,0,0,213
L100353,Periskope-A,2026-01-27 05:00:00,0,1,5,1,1,48
L100355,Periskope-A,2026-01-03 09:00:00,3,1,2,0,0,94
L100358,Periskope-A,2026-02-22 07:00:00,2,1,3,0,0,47
L100359,Periskope-A,2026-01-24 16:00:00,10,0,9,0,0,79
L100361,Periskope-B,2026-05-05 11:00:00,7,1,9,0,0,90
L100362,Periskope-A,2026-06-27 00:00:00,18,0,5,0,0,39
L100364,Periskope-A,2026-02-24 12:00:00,7,1,6,1,0,126
L100365,Periskope-A,2026-04-03 04:00:00,23,1,4,1,1,63
L100366,Periskope-B,2026-06-19 20:00:00,15,0,7,1,1,5
L100367,Periskope-A,2026-05-08 13:00:00,8,0,9,0,0,96
L100369,Periskope-A,2026-04-18 07:00:00,3,1,8,0,0,5
L100370,Periskope-A,2026-03-18 09:00:00,4,1,6,0,0,124
L100373,Periskope-A,2026-05-28 21:00:00,16,0,7,0,0,110
L100374,Periskope-A,2026-01-07 21:00:00,16,0,5,0,0,146
L100375,Periskope-A,2026-05-11 18:00:00,13,0,2,0,0,5
L100377,Periskope-B,2026-05-16 15:00:00,10,0,4,0,0,73
L100378,Periskope-B,2026-05-31 00:00:00,18,0,8,0,0,217
L100379,Periskope-A,2026-01-26 11:00:00,5,1,2,0,0,124
L100380,Periskope-A,2026-03-22 06:00:00,1,1,4,0,0,18
L100382,Periskope-B,2026-04-15 18:00:00,13,0,5,0,0,202
L100384,Periskope-A,2026-01-15 23:00:00,18,0,2,0,0,156
L100386,Periskope-B,2026-06-27 17:00:00,11,0,5,0,0,14
L100388,Periskope-A,2026-01-25 23:00:00,18,0,9,1,0,23
L100389,Periskope-A,2026-04-01 11:00:00,6,1,5,0,0,177
L100390,Periskope-A,2026-04-04 20:00:00,14,0,7,0,0,5
L100391,Periskope-B,2026-04-30 12:00:00,6,1,2,0,0,22
L100393,Periskope-A,2026-06-24 09:00:00,4,1,5,1,0,55
L100394,Periskope-A,2026-04-05 18:00:00,12,0,7,0,0,51
L100396,Periskope-A,2026-06-23 14:00:00,9,0,2,0,0,31
L100397,Periskope-A,2026-06-19 03:00:00,22,1,7,0,0,12
L100398,Periskope-B,2026-04-02 09:00:00,4,1,3,0,0,61
L100400,Periskope-B,2026-04-19 20:00:00,15,0,6,0,0,128
L100401,Periskope-A,2026-04-12 09:00:00,4,1,7,0,0,67
L100405,Periskope-A,2026-01-21 22:00:00,17,0,2,0,0,109
L100406,Periskope-A,2026-05-13 18:00:00,12,0,3,1,1,33
L100408,Periskope-B,2026-05-17 15:00:00,10,0,8,0,0,40
L100411,Periskope-A,2026-06-24 02:00:00,22,1,2,0,0,72
L100413,Periskope-B,2026-04-19 21:00:00,16,0,3,0,0,21
L100415,Periskope-B,2026-06-18 07:00:00,2,1,2,0,0,203
L100417,Periskope-A,2026-05-28 13:00:00,8,1,9,1,0,132
L100418,Periskope-A,2026-03-20 07:00:00,2,1,2,0,0,87
L100419,Periskope-A,2026-03-27 03:00:00,22,1,8,0,0,9
L100422,Periskope-A,2026-06-05 05:00:00,0,1,3,1,1,30
L100425,Periskope-A,2026-01-22 15:00:00,11,0,9,0,0,58
L100426,Periskope-A,2026-02-22 11:00:00,5,1,8,0,0,73
L100427,Periskope-B,2026-06-02 06:00:00,2,1,5,0,0,109
L100428,Periskope-A,2026-02-17 11:00:00,6,1,5,1,0,49
L100429,Periskope-A,2026-05-25 11:00:00,5,1,2,1,0,25
L100432,Periskope-B,2026-03-02 19:00:00,13,0,2,0,0,157
L100433,Periskope-B,2026-04-08 23:00:00,17,0,4,0,0,38
L100437,Periskope-B,2026-06-07 05:00:00,1,1,4,0,0,30
L100439,Periskope-A,2026-04-20 16:00:00,11,0,5,0,0,56
L100440,Periskope-A,2026-02-23 03:00:00,22,1,8,0,0,72
L100442,Periskope-A,2026-01-23 22:00:00,16,0,4,0,0,49
L100443,Periskope-B,2026-03-10 07:00:00,1,1,9,0,0,16
L100444,Periskope-B,2026-06-18 20:00:00,15,0,3,1,0,256
L100446,Periskope-A,2026-01-22 11:00:00,7,1,8,1,0,173
L100447,Periskope-B,2026-04-28 03:00:00,22,1,8,0,0,191
L100448,Periskope-B,2026-06-25 11:00:00,5,1,7,0,0,180
L100449,Periskope-B,2026-06-07 22:00:00,16,0,2,0,0,88
L100450,Periskope-A,2026-02-20 19:00:00,15,0,3,1,0,73
L100452,Periskope-B,2026-04-07 02:00:00,21,1,6,1,1,5
L100455,Periskope-A,2026-02-14 13:00:00,7,1,4,0,0,52
L100456,Periskope-A,2026-06-30 02:00:00,20,1,4,0,0,95
L100457,Periskope-B,2026-05-18 00:00:00,19,1,5,0,0,296
L100458,Periskope-B,2026-06-02 06:00:00,1,1,9,0,0,76
L100459,Periskope-B,2026-05-29 08:00:00,2,1,3,0,0,14
L100461,Periskope-A,2026-01-20 12:00:00,6,1,9,1,0,114
L100463,Periskope-A,2026-01-13 20:00:00,16,0,2,0,0,172
L100466,Periskope-B,2026-03-07 00:00:00,19,1,2,0,0,177
L100467,Periskope-A,2026-01-29 20:00:00,16,0,8,0,0,70
L100469,Periskope-B,2026-06-01 08:00:00,4,1,7,0,0,28
L100470,Periskope-A,2026-02-28 13:00:00,8,0,9,1,0,46
L100472,Periskope-A,2026-06-19 13:00:00,7,1,6,0,0,5
L100474,Periskope-A,2026-06-17 03:00:00,21,1,3,0,0,48
L100475,Periskope-A,2026-06-18 01:00:00,20,1,7,0,0,174
L100477,Periskope-A,2026-02-01 17:00:00,11,0,5,0,0,5
L100479,Periskope-A,2026-02-21 07:00:00,3,1,8,1,1,61
L100480,Periskope-B,2026-04-17 17:00:00,13,0,2,0,0,52
L100481,Periskope-A,2026-01-29 07:00:00,1,1,8,1,0,5
L100482,Periskope-B,2026-03-25 03:00:00,22,1,4,0,0,291
L100486,Periskope-A,2026-05-11 02:00:00,21,1,8,0,0,109
L100487,Periskope-A,2026-01-13 08:00:00,3,1,2,0,0,78
L100489,Periskope-A,2026-02-01 17:00:00,12,0,8,0,0,122
L100490,Periskope-A,2026-06-02 07:00:00,2,1,2,0,0,48
L100491,Periskope-A,2026-01-12 05:00:00,0,1,4,1,1,60
L100493,Periskope-A,2026-04-17 10:00:00,5,1,4,0,0,11
L100494,Periskope-B,2026-04-06 23:00:00,17,0,4,0,0,5
L100495,Periskope-A,2026-05-04 16:00:00,11,0,8,0,0,56
L100497,Periskope-A,2026-03-15 16:00:00,11,0,3,0,0,63
L100498,Periskope-A,2026-05-31 06:00:00,1,1,7,0,0,93
L100500,Periskope-B,2026-06-28 11:00:00,5,1,4,1,0,57
L100501,Periskope-A,2026-04-03 12:00:00,6,1,6,0,0,28
L100502,Periskope-A,2026-05-16 22:00:00,16,0,8,0,0,46
L100504,Periskope-A,2026-05-25 07:00:00,3,1,7,1,1,119
L100505,Periskope-A,2026-06-05 16:00:00,11,0,7,1,0,27
L100506,Periskope-B,2026-04-08 08:00:00,2,1,6,0,0,94
L100508,Periskope-A,2026-04-01 00:00:00,20,1,2,0,0,51
L100510,Periskope-A,2026-06-11 11:00:00,6,1,7,0,0,33
L100515,Periskope-A,2026-04-15 09:00:00,5,1,3,1,1,89
L100516,Periskope-B,2026-06-23 00:00:00,18,0,2,0,0,93
L100520,Periskope-A,2026-01-04 21:00:00,16,0,2,0,0,54
L100521,Periskope-A,2026-03-11 12:00:00,7,1,5,0,0,149
L100522,Periskope-B,2026-06-17 03:00:00,22,1,5,0,0,98
L100523,Periskope-A,2026-04-07 22:00:00,17,0,6,0,0,74
L100525,Periskope-A,2026-01-19 22:00:00,16,0,3,1,1,45
L100527,Periskope-A,2026-06-02 06:00:00,0,1,2,0,0,77
L100530,Periskope-B,2026-03-15 19:00:00,14,0,9,0,0,5
L100532,Periskope-B,2026-05-06 03:00:00,22,1,9,0,0,34
L100535,Periskope-B,2026-06-04 22:00:00,16,0,8,0,0,30
L100538,Periskope-A,2026-02-13 07:00:00,2,1,2,1,0,23
L100541,Periskope-B,2026-05-28 10:00:00,5,1,3,0,0,19
L100542,Periskope-B,2026-04-17 22:00:00,17,0,8,0,0,65
L100543,Periskope-A,2026-05-23 07:00:00,1,1,7,0,0,78
L100544,Periskope-A,2026-04-25 10:00:00,4,1,2,0,0,70
L100546,Periskope-A,2026-04-24 12:00:00,6,1,3,1,1,65
L100547,Periskope-B,2026-05-23 06:00:00,2,1,2,1,0,42
L100548,Periskope-A,2026-05-14 19:00:00,13,0,2,0,0,5
L100550,Periskope-B,2026-05-31 02:00:00,20,1,7,0,0,26
L100551,Periskope-B,2026-04-10 02:00:00,20,1,7,0,0,78
L100552,Periskope-A,2026-03-02 10:00:00,4,1,5,0,0,22
L100553,Periskope-B,2026-04-06 17:00:00,11,0,5,1,0,143
L100555,Periskope-A,2026-06-05 09:00:00,4,1,8,0,0,16
L100556,Periskope-A,2026-06-02 21:00:00,16,0,3,0,0,51
L100559,Periskope-A,2026-03-12 18:00:00,13,0,6,0,0,159
L100560,Periskope-A,2026-05-07 21:00:00,15,0,3,1,0,84
L100561,Periskope-A,2026-04-26 05:00:00,23,1,7,0,0,52
L100562,Periskope-A,2026-02-17 14:00:00,8,0,9,1,0,81
L100563,Periskope-A,2026-02-20 15:00:00,11,0,8,1,0,5
L100568,Periskope-A,2026-01-31 16:00:00,10,0,7,0,0,29
L100570,Periskope-A,2026-04-22 01:00:00,19,1,7,0,0,72
L100571,Periskope-A,2026-02-12 01:00:00,20,1,7,1,1,89
L100572,Periskope-B,2026-03-03 23:00:00,17,0,8,1,1,243
L100575,Periskope-A,2026-03-08 13:00:00,7,1,7,0,0,85
L100576,Periskope-A,2026-05-16 00:00:00,18,0,9,0,0,14
L100579,Periskope-A,2026-03-10 08:00:00,3,1,6,0,0,5
L100581,Periskope-B,2026-05-07 03:00:00,22,1,6,1,0,26
L100582,Periskope-A,2026-02-13 02:00:00,22,1,7,0,0,29
L100583,Periskope-A,2026-02-24 21:00:00,17,0,5,1,0,31
L100584,Periskope-B,2026-05-24 12:00:00,6,1,2,0,0,11
L100585,Periskope-A,2026-06-23 09:00:00,5,1,3,0,0,95
L100587,Periskope-A,2026-06-16 14:00:00,9,0,6,1,0,5
L100588,Periskope-A,2026-06-04 08:00:00,2,1,9,0,0,148
L100590,Periskope-A,2026-05-21 06:00:00,1,1,8,1,0,45
L100591,Periskope-B,2026-03-02 14:00:00,9,0,3,0,0,50
L100592,Periskope-B,2026-03-27 23:00:00,18,0,6,0,0,53
L100593,Periskope-A,2026-04-07 12:00:00,7,1,5,0,0,23
L100595,Periskope-B,2026-06-03 18:00:00,14,0,3,0,0,296
L100596,Periskope-B,2026-03-31 10:00:00,5,1,8,0,0,5
L100598,Periskope-A,2026-02-08 04:00:00,22,1,5,0,0,51
L100599,Periskope-B,2026-05-28 01:00:00,19,1,7,0,0,5
L100601,Periskope-B,2026-04-07 08:00:00,3,1,6,0,0,197
L100602,Periskope-A,2026-05-20 07:00:00,1,1,7,0,0,110
L100603,Periskope-A,2026-04-26 07:00:00,2,1,9,0,0,47
L100606,Periskope-A,2026-02-02 08:00:00,4,1,4,1,0,96
L100607,Periskope-B,2026-05-15 22:00:00,16,0,8,0,0,99
L100609,Periskope-A,2026-02-06 17:00:00,11,0,9,0,0,92
L100612,Periskope-A,2026-04-02 07:00:00,2,1,3,1,0,31
L100613,Periskope-B,2026-06-05 08:00:00,2,1,2,1,0,197
L100614,Periskope-A,2026-06-16 22:00:00,17,0,4,0,0,102
L100617,Periskope-B,2026-04-24 18:00:00,13,0,3,0,0,86
L100618,Periskope-A,2026-04-26 01:00:00,20,1,5,1,1,86
L100619,Periskope-A,2026-01-19 13:00:00,7,1,5,0,0,5
L100622,Periskope-B,2026-04-16 10:00:00,4,1,5,0,0,81
L100625,Periskope-B,2026-06-19 21:00:00,16,0,6,1,0,84
L100627,Periskope-A,2026-01-26 06:00:00,1,1,7,1,0,43
L100628,Periskope-B,2026-06-24 09:00:00,4,1,8,0,0,156
